time	wake_longitudinal
1.2184524368437878e-11	-1128.5506438403474
1.2201371230349713e-11	-1116.1447800702979
1.2218241385477408e-11	-1103.7022827271203
1.2235134866027195e-11	-1091.242581837195
1.2252051704249831e-11	-1078.7656536141371
1.2268991932440668e-11	-1066.2714742386745
1.228595558293971e-11	-1053.760019858602
1.2302942688131725e-11	-1041.2312665886968
1.2319953280446109e-11	-1028.685190510824
1.2336987392357246e-11	-1016.1217676736651
1.2354045056384366e-11	-1003.5409740928268
1.237112630509167e-11	-990.942785750749
1.2388231171088377e-11	-978.3271785966676
1.2405359687028797e-11	-965.6941285465604
1.2422511885612384e-11	-953.0436114831126
1.243968779958381e-11	-940.3756032556565
1.2456887461733019e-11	-927.6900796801361
1.2474110904895289e-11	-914.987016539057
1.24913581619513e-11	-902.2650225616865
1.2508629265827194e-11	-889.5218918076454
1.252592424949464e-11	-876.7611418378137
1.2543243145970891e-11	-863.9827482910868
1.2560585988318855e-11	-851.1866867726744
1.2577952809647152e-11	-838.3729328540586
1.259534364311018e-11	-825.5414620729442
1.2612758521908176e-11	-812.6922499332157
1.2630197479287285e-11	-799.8252719048853
1.2647660548539616e-11	-786.9405034240508
1.2665147763003312e-11	-774.0263780173894
1.2682659156062609e-11	-761.0851190904302
1.2700194761147902e-11	-748.1259670069137
1.2717754611735808e-11	-735.1488970269695
1.2735338741349229e-11	-722.1538843765238
1.2752947183557421e-11	-709.1409042472455
1.2770579971976052e-11	-696.1099317965054
1.2788237140267267e-11	-683.0609421473241
1.2805918722139757e-11	-669.9939103883271
1.2823624751348818e-11	-656.9088115736959
1.2841355261696416e-11	-643.8056207231211
1.2859110287031257e-11	-630.684312821754
1.2876889861248847e-11	-617.5448628201593
1.2894694018291607e-11	-604.387245634228
1.2912522792148734e-11	-591.2114361452861
1.2930376216856574e-11	-578.0174091998134
1.2948254326498484e-11	-564.8051396095492
1.2966157155204943e-11	-551.5746021514068
1.2984084737153626e-11	-538.3246817018646
1.3002037106569456e-11	-525.0561790598505
1.3020014297724682e-11	-511.76933079965374
1.303801634493894e-11	-498.4641115558124
1.3056043282579311e-11	-485.1404959277951
1.3074095145060404e-11	-471.7984584799442
1.3092171966844401e-11	-458.4379737414398
1.3110273782441138e-11	-445.05901620624184
1.3128400626408168e-11	-431.6597915644167
1.3146552533350817e-11	-418.24087727050147
1.3164729537922268e-11	-404.8034093926059
1.3182931674823609e-11	-391.347362277726
1.320115897880391e-11	-377.87271023738805
1.3219411484660288e-11	-364.37942754759797
1.3237689227237969e-11	-350.86748844879935
1.325599224143036e-11	-337.33686714581427
1.3274320562179113e-11	-323.7875378078023
1.3292674224474191e-11	-310.2194745682068
1.3311053263353937e-11	-296.6326515247074
1.3329457713905135e-11	-283.02704273917226
1.334788761126309e-11	-269.4026222376009
1.3366342990611678e-11	-255.75936401008525
1.3384823887183427e-11	-242.09724201075258
1.3403330336259577e-11	-228.4162301577182
1.342186237317015e-11	-214.71630233303594
1.3440420033294017e-11	-200.99743238264568
1.3459003352058965e-11	-187.26049430332998
1.3477612364941765e-11	-173.5063216110375
1.3496247107468297e-11	-159.7331317916449
1.351490761521339e-11	-145.94089855131534
1.3533593923801231e-11	-132.12959555973254
1.3552306068905206e-11	-118.29919645021366
1.3571044086248024e-11	-104.44967481962287
1.3589808011601784e-11	-90.58986916040999
1.3608597880788047e-11	-76.71813841852878
1.3627413729677906e-11	-62.827228008633014
1.3646255594192045e-11	-48.91711141206804
1.3665123510300815e-11	-34.98776207351026
1.3684017514024303e-11	-21.039153400920696
1.3702937641432399e-11	-7.0712587654939085
1.3721883928644863e-11	6.915948498396347
1.3740856411831398e-11	20.92249509324319
1.3759855127211714e-11	34.948407758460164
1.3778880111055601e-11	48.9937132704315
1.3797931399682999e-11	63.05843844256441
1.3817009029464065e-11	77.14261012534035
1.383611303681924e-11	91.24625520636305
1.3855243458219326e-11	105.36940061041523
1.3874400330185548e-11	119.512073299504
1.3893583689289627e-11	133.67430027291724
1.391279357215385e-11	147.8561085672717
1.3932030015451144e-11	162.05752525656908
1.3951293055905134e-11	176.27303231950512
1.3970582730290225e-11	190.50685143890888
1.3989899075431666e-11	204.76035086571844
1.4009242128205627e-11	219.03355781079978
1.4028611925539259e-11	233.32649952263696
1.4048008504410771e-11	247.62750183463803
1.4067431901849503e-11	261.92515975492034
1.4086882154935992e-11	276.2425862489573
1.4106359300802041e-11	290.5798086496526
1.4125863376630854e-11	304.9368543277442
1.4145394419656874e-11	319.3137506916889
1.4164952467166195e-11	333.7105251879601
1.4184537556496412e-11	348.12720530094634
1.4204149725036739e-11	362.56381855303175
1.422378901022809e-11	377.0203925046551
1.4243455449563145e-11	391.4969547543612
1.4263149080586423e-11	405.9935329388549
1.4282869940894354e-11	420.51015473305324
1.4302618068135352e-11	435.046847850136
1.4322393500009882e-11	449.60364004160095
1.4342196274270536e-11	464.1805590973176
1.4362026428722108e-11	478.7776328455773
1.438188400122166e-11	493.39488915314996
1.4401769029678594e-11	508.03235592533053
1.4421681552054733e-11	522.6884155275302
1.4441621606364386e-11	537.3547705472251
1.4461589230674415e-11	552.0414039175765
1.4481584463104328e-11	566.748343676335
1.4501607341826328e-11	581.475617900005
1.4521657905065403e-11	596.1730171104872
1.4541736191099386e-11	610.8855054628568
1.4561842238259042e-11	625.6183359518723
1.4581976084928126e-11	640.371536703466
1.4602137769543475e-11	655.1451358824702
1.4622327330595058e-11	669.9391616926472
1.464254480662607e-11	684.7536423767616
1.4662790236232995e-11	699.5886062166251
1.4683063658065684e-11	714.4440815331567
1.4703365110827425e-11	729.32009668643
1.4723694633275016e-11	744.2166800757283
1.474405226421885e-11	759.1338601396079
1.4764438042522976e-11	774.0716653559407
1.4784852007105174e-11	789.0301242419678
1.48052941969371e-11	804.0092653544178
1.4825764651044113e-11	819.0091172893583
1.4846263408505708e-11	834.0297086825324
1.4866790508455354e-11	849.0710682092349
1.4887345990080627e-11	864.1332245844012
1.4907929892623288e-11	879.2113676037152
1.492854225537935e-11	894.2985735637005
1.4949183117699165e-11	909.4066397614585
1.496985251898749e-11	924.5193634237713
1.4990550498703562e-11	939.591898854273
1.501127709636118e-11	954.6852742384247
1.5032032351528773e-11	969.7995183904632
1.505281630382948e-11	984.9346601644711
1.507362899294123e-11	1000.0907284544245
1.5094470458596804e-11	1015.2677521942511
1.5115340740583927e-11	1030.46576035788
1.513623987874533e-11	1045.6847819593024
1.515716791297883e-11	1060.9248460526248
1.5178124883237424e-11	1076.1859817321301
1.519911082952933e-11	1091.4682181323228
1.5220125791918098e-11	1106.7715844279908
1.5241169810522665e-11	1122.0961098342661
1.526224292551744e-11	1137.4418236066665
1.5283345177132372e-11	1152.8087550411615
1.5304476605653047e-11	1168.196933474233
1.5325637251420738e-11	1183.606388282915
1.5346827154832508e-11	1199.0371488848705
1.5368046356341266e-11	1214.4892447384266
