time	wake_longitudinal
9.613870986925049e-11	-22785248585022.87
9.627163549856308e-11	-22749276457951.723
9.640474491672568e-11	-22713254594227.82
9.653803837785287e-11	-22677182925083.074
9.66715161364106e-11	-22641061381654.31
9.680517844721663e-11	-22604889894983.133
9.693902556544106e-11	-22568668396015.81
9.707305774660679e-11	-22532396815603.137
9.720727524659004e-11	-22496075084500.28
9.734167832162078e-11	-22459703133366.695
9.747626722828367e-11	-22423280892765.83
9.761104222351695e-11	-22386808293165.457
9.77460035646153e-11	-22350285264936.9
9.788115150922874e-11	-22313711738355.305
9.801648631536354e-11	-22277087643599.414
9.81520082413827e-11	-22240412910751.438
9.828771754600646e-11	-22203687469796.906
9.842361448831272e-11	-22166911250624.562
9.855969932773768e-11	-22130084183026.188
9.869597232407616e-11	-22093206196696.5
9.883243373748226e-11	-22056277221233.02
9.896908382846971e-11	-22019297186135.91
9.91059228579125e-11	-21982266020807.867
9.924295108704528e-11	-21945183654553.97
9.93801687774639e-11	-21908050016581.56
9.95175761911259e-11	-21870865036000.094
9.965517359035104e-11	-21833628641821.01
9.979296123782175e-11	-21796340762957.594
9.993093939658366e-11	-21759001328224.848
1.0006910833004608e-10	-21721610266339.35
1.002074683019826e-10	-21642961081210.695
1.003460195765314e-10	-21564167262902.633
1.0048476241819595e-10	-21485264500778.92
1.0062369709184542e-10	-21406252644209.027
1.0076282386271517e-10	-21327131542354.152
1.0090214299640732e-10	-21247901044166.934
1.0104165475889121e-10	-21168560998391.164
1.0118135941650392e-10	-21089111253561.51
1.0132125723595078e-10	-21009551658003.21
1.0146134848430587e-10	-20929882059831.793
1.0160163342901257e-10	-20850102306952.777
1.0174211233788399e-10	-20770212247061.406
1.0188278547910357e-10	-20690211727642.33
1.0202365312122554e-10	-20610100595969.31
1.0216471553317545e-10	-20529878699104.96
1.0230597298425065e-10	-20449545883900.438
1.0244742574412129e-10	-20369101996994.91
1.0258907408282911e-10	-20288546884816.195
1.0273091827079046e-10	-20207880393579.082
1.0287295857879518e-10	-20127102369285.97
1.0301519527800752e-10	-20046212657726.316
1.0315762863996663e-10	-19965211104476.367
1.0330025893658712e-10	-19884097554898.875
1.0344308644015955e-10	-19802871854142.754
1.0358611142335097e-10	-19721533847142.83
1.0372933415920544e-10	-19640083378619.527
1.0387275492114453e-10	-19558520293078.57
1.0401637398296784e-10	-19476844434810.703
1.0416019161885357e-10	-19395055647891.367
1.0430420810335899e-10	-19313153776180.406
1.0444842371142099e-10	-19231138663321.8
1.0459283871835661e-10	-19149010152743.324
1.0473745339986353e-10	-19066768087656.285
1.0488226803202063e-10	-18984412311055.207
1.0502728289128855e-10	-18901942665717.51
1.0517249825451011e-10	-18819358994203.26
1.0531791439891097e-10	-18736661138854.816
1.0546353160210003e-10	-18653848941796.566
1.0560935014207006e-10	-18627307110266.727
1.0575537029719822e-10	-18609033141041.68
1.0590159234624651e-10	-18590733905419.125
1.0604801656836241e-10	-18572409368464.63
1.0619464324307931e-10	-18554059495195.45
1.0634147265031715e-10	-18535684250580.477
1.0648850507038285e-10	-18517283599540.168
1.0663574078397138e-10	-18498857506946.418
1.0678318007216447e-10	-18480405937622.727
1.0693082321643379e-10	-18461928856343.785
1.0707867049863976e-10	-18443426227835.633
1.0722672220103253e-10	-18424898016775.543
1.0737497860625249e-10	-18406344187791.95
1.0752343999733078e-10	-18387764705464.383
1.0767210665768994e-10	-18369159534323.39
1.0782097887114435e-10	-18350528638850.48
1.0797005692190078e-10	-18331871983478.062
1.0811934109455901e-10	-18313189532589.355
1.0826883167411226e-10	-18294481250518.34
1.0841852894594785e-10	-18275747101549.688
1.0856843319584766e-10	-18256987049918.67
1.0871854470998871e-10	-18238201059811.133
1.088688637749437e-10	-18219389095363.387
1.0901939067768155e-10	-18200551120662.16
1.0917012570556796e-10	-18181687099744.53
1.0932106914636598e-10	-18162796996597.844
1.0947222128823651e-10	-18143880775159.664
1.0962358241973886e-10	-18124938399317.68
1.0977515282983134e-10	-18105969832909.66
1.0992693280787178e-10	-18086975039723.37
1.1007892264361809e-10	-18067953983496.508
1.102311226272288e-10	-18048906627916.63
1.1038353304926363e-10	-18029832936621.09
1.1053615420068408e-10	-18010732873196.965
1.1068898637285388e-10	-17991606401180.98
1.1084202985753964e-10	-17972453484059.457
1.1099528494691141e-10	-17953274085268.22
1.1114875193354316e-10	-17934068168192.54
1.1130243111041343e-10	-17914835696167.062
1.114563227709058e-10	-17895576632475.746
1.1161042720880952e-10	-17876290940351.777
1.1176474471832005e-10	-17856978582977.504
1.119192755940396e-10	-17837639523484.383
1.1207402013097774e-10	-17818273724952.87
1.122289786245519e-10	-17798881150412.4
1.1238415137058845e-10	-17779461762841.215
1.1253953866532137e-10	-17760015525166.56
1.1269514080539566e-10	-17740542400264.22
1.1285095808786597e-10	-17721042350958.742
1.1300699081019769e-10	-17701515340023.246
1.1316323927026749e-10	-17681961330179.395
1.133197037663639e-10	-17662380284097.305
1.1347638459718789e-10	-17642772164395.477
1.136332820618534e-10	-17623136933640.727
1.1379039645988797e-10	-17603474554348.117
1.1394772809123324e-10	-17583784988980.879
1.1410527725624561e-10	-17564068199950.346
1.1426304425569674e-10	-17544324149615.87
1.1442102939077414e-10	-17524552800284.775
1.1457923296308179e-10	-17504754114212.258
1.1473765527464063e-10	-17484928053601.338
1.1489629662788923e-10	-17465074580602.76
1.1505515732568431e-10	-17445193657314.95
1.1521423767130134e-10	-17425285245783.926
1.1537353796843511e-10	-17405349308003.225
1.1553305852120028e-10	-17385385805913.838
1.1569279963413206e-10	-17365394701404.135
1.1585276161218666e-10	-17345375956309.79
1.1601294476074196e-10	-17325329532413.705
1.1617334938559807e-10	-17305255391445.951
1.1633397579297794e-10	-17285153495083.676
1.1649482428952784e-10	-17265023804951.047
1.1665589518231813e-10	-17244866282619.164
1.168171887788436e-10	-17224680889606.01
1.1697870538702487e-10	-17204467587376.273
1.1714044531520665e-10	-17184226337341.57
1.1730240887216158e-10	-17163957100859.96
1.1746459636708866e-10	-17143659839236.156
1.1762700810961442e-10	-17123334513721.35
1.1778964440979354e-10	-17102981085513.168
1.179525055781093e-10	-17082599515755.586
1.1811559192547438e-10	-17062189765538.848
1.1827890376323128e-10	-17041751795899.408
1.1844244140315293e-10	-17021285567819.852
1.1860620515744343e-10	-17000791042228.805
1.1877019533873848e-10	-16980268180000.877
1.189344122601061e-10	-16959716941956.58
1.1909885623504709e-10	-16939137288862.262
1.1926352757749574e-10	-16918529181430.018
1.1942842660182048e-10	-16897892580317.617
1.195935536228243e-10	-16877227446128.441
1.197589089557455e-10	-16856533739411.396
1.1992449291625819e-10	-16835811420660.846
1.2009030582047302e-10	-16815060450316.525
1.2025634798493765e-10	-16794280788763.475
1.2042261972663743e-10	-16773472396331.965
1.2058912136299603e-10	-16752635233297.402
1.2075585321187594e-10	-16731769259880.293
1.2092281559157916e-10	-16710874436246.12
1.210900088208478e-10	-16689950722505.3
1.2125743321886466e-10	-16668998078713.098
1.2142508910525392e-10	-16648016464869.543
1.2159297680008156e-10	-16627005840919.363
1.2176109662385622e-10	-16605966166751.902
1.2192944889752964e-10	-16584897402201.045
1.220980339424973e-10	-16563799507045.14
1.222668520805991e-10	-16542672441006.934
1.2243590363411993e-10	-16521516163753.463
1.226051889257902e-10	-16500330634896.021
1.2277470827878668e-10	-16479115813990.04
1.2294446201673285e-10	-16457871660535.041
1.231144504637002e-10	-16436598133974.486
1.2328467394420683e-10	-16415295193695.943
1.23455132783221e-10	-16393962799030.646
1.2362582730615975e-10	-16372600909253.654
1.2379675783889011e-10	-16351209483583.723
1.2396792470772966e-10	-16329788481183.223
1.2413932823944712e-10	-16308337861158.06
1.2431096876126308e-10	-16286857582557.596
1.244828466008505e-10	-16265347604374.572
1.2465496208633544e-10	-16243807885545.037
1.2482731554629758e-10	-16222238384948.256
1.24999907309771e-10	-16200639061406.64
1.2517273770624465e-10	-16179009873685.672
1.2534580706566305e-10	-16157350780493.812
1.2551911571842692e-10	-16135661740482.44
1.2569266399539386e-10	-16113942712245.75
1.2586645222787884e-10	-16092193654320.709
1.2604048074765498e-10	-16070414525186.936
1.2621474988695412e-10	-16048605283266.646
1.2638925997846743e-10	-16026765886924.576
1.2656401135534609e-10	-16004896294467.889
1.2673900435120193e-10	-15982996464146.096
1.26914239300108e-10	-15961066354150.994
1.2708971653659932e-10	-15939105922616.564
1.2726543639567339e-10	-15917115127618.908
1.2744139921279088e-10	-15895093927176.164
1.276176053238764e-10	-15873042279248.41
1.2779405506531886e-10	-15850960141737.62
1.279707487739724e-10	-15828847472487.54
1.2814768678715687e-10	-15806704229283.639
1.2832486944265905e-10	-15784530369852.95
1.2850229707873113e-10	-15762325851864.262
1.2867997003409464e-10	-15740090632927.627
1.2885788864793882e-10	-15717824670594.56
1.29036053259922e-10	-15695527922357.885
1.2921446421017207e-10	-15673200345651.64
1.293931218392872e-10	-15650841897851.033
1.2957202648833646e-10	-15628452536272.32
1.2975117849886057e-10	-15606032218172.742
1.2993057821287242e-10	-15583580900750.45
1.301102259728578e-10	-15561098541144.404
1.3029012212177603e-10	-15538585096434.314
1.3047026700306064e-10	-15516040523640.541
1.3065066096061997e-10	-15493464779724.023
1.3083130433883792e-10	-15470857821586.182
