#Parameters = {C_1=25.412767459909; C_2=94.841739321315; Conductivity=10000000; Conductivity_Mo=17900000; Conductivity_MoGr=1000000; Ip=98.18739362802; Pipe_lenght=40; Pipe_r=30; beta=1; cells_wave=20; conductivity_copper=59500000; d=-394.84173932132; half_gap_x=4.5872325400905; half_gap_y=30; half_gap_z=150; mu_copper=0.999994; offset=1.8348930160362; offset_x=1; offset_y=5; sigma_z=5; teta=15; thcoll=25.412767459909; translate_z=-244.84173932132; wakelength=20000}
#"s / mm"	"Z [Real Part / V/pC]"
#-------------------------------
76.820442909292	-0.015037721649713
77.047752886632	-0.013022580651288
77.275062863973	-0.010846252916422
77.502372841314	-0.0085381564825293
77.729682818654	-0.0061309174102205
77.956992795995	-0.0036599924898291
78.184302773335	-0.0011628797103032
78.411612750676	0.0013218645995172
78.638922728016	0.0037554929857741
78.866232705357	0.0060996591994523
79.093542682697	0.0083168886569994
79.320852660038	0.010371156529506
79.548162637378	0.012228656391118
79.775472614719	0.013858589525669
80.002782592059	0.015233879014509
80.230092569400	0.016331761375915
80.457402546740	0.017134286647814
80.684712524081	0.017628623058085
80.912022501422	0.017807159871074
81.139332478762	0.017667433363876
81.366642456103	0.017212155592084
81.593952433443	0.016449425390746
81.821262410784	0.015393010814877
82.048572388124	0.014062312860600
82.275882365465	0.012481795151468
82.503192342805	0.010680092586269
82.730502320146	0.0086892869952641
82.957812297486	0.0065445757943110
83.185122274827	0.0042841146254146
83.412432252167	0.0019485599359937
83.639742229508	-0.00041989821394899
83.867052206848	-0.0027787358640960
84.094362184189	-0.0050860325312165
84.321672161530	-0.0073009309418079
84.548982138870	-0.0093839012207886
84.776292116211	-0.011297298713054
85.003602093551	-0.013006270872736
85.230912070892	-0.014479797962759
85.458222048232	-0.015691393709455
85.685532025573	-0.016619425200505
85.912842002913	-0.017247277016669
86.140151980254	-0.017563513909181
86.367461957594	-0.017562123590408
86.594771934935	-0.017242616546885
86.822081912275	-0.016609956679173
87.049391889616	-0.015674445802673
87.276701866956	-0.014451703643022
87.504011844297	-0.012962612659039
87.731321821638	-0.011233067004122
87.958631798978	-0.0092932974608869
88.185941776319	-0.0071770524567870
88.413251753659	-0.0049208811208654
88.640561731000	-0.0025636271305226
88.867871708340	-0.00014594988104892
89.095181685681	0.0022903596069758
89.322491663021	0.0047032465518128
89.549801640362	0.0070513098158111
89.777111617702	0.0092943778888695
90.004421595043	0.011393956900953
90.231731572383	0.013313747482668
90.459041549724	0.015020450214561
90.686351527064	0.016484684293849
90.913661504405	0.017681758245895
91.140971481746	0.018591954683106
91.368281459086	0.019200559795539
91.595591436427	0.019497835061671
91.822901413767	0.019479163326729
92.050211391108	0.019145354918999
92.277521368448	0.018502872840746
92.504831345789	0.017563828077519
92.732141323129	0.016345702738485
92.959451300470	0.014870869929324
93.186761277810	0.013166067606039
93.414071255151	0.011261896213467
93.641381232491	0.0091924359667875
93.868691209832	0.0069948429696023
94.096001187172	0.0047088614829293
94.323311164513	0.0023760847380978
94.550621141853	3.9024607530342e-05
94.777931119194	-0.0022597978988898
95.005241096535	-0.0044785464417374
95.232551073875	-0.0065765519092034
95.459861051216	-0.0085147421995370
95.687171028556	-0.010256290467491
95.914481005897	-0.011767424704760
96.141790983237	-0.013018244453715
96.369100960578	-0.013983287262440
96.596410937918	-0.014641812069032
96.823720915259	-0.014977934861035
97.051030892599	-0.014980831561743
97.278340869940	-0.014645033618593
97.505650847280	-0.013970689369091
97.732960824621	-0.012963675208670
97.960270801961	-0.011635511407494
98.187580779302	-0.010003118961583
98.414890756643	-0.0080884565082019
98.642200733983	-0.0059180994108339
98.869510711324	-0.0035228156419700
99.096820688664	-0.00093720611024225
99.324130666005	0.0018006448327610
99.551440643345	0.0046496703697556
99.778750620686	0.0075665399341654
100.00606059803	0.010506603257328
100.23337057537	0.013424732106236
100.46068055271	0.016275910457517
100.68799053005	0.019015661154745
100.91530050739	0.021600563894700
101.14261048473	0.023989107288854
101.36992046207	0.026142665140296
101.59723043941	0.028026285186075
101.82454041675	0.029609011942828
102.05185039409	0.030863955563915
102.27916037143	0.031768556325510
102.50647034877	0.032305172153538
102.73378032611	0.032461801782652
102.96109030345	0.032232514120544
103.18840028079	0.031617359421178
103.41571025813	0.030622021548031
103.64302023547	0.029257561673662
103.87033021282	0.027540395489992
104.09764019016	0.025492300503950
104.32495016750	0.023140201073130
104.55226014484	0.020515716573548
104.77957012218	0.017654602312335
105.00688009952	0.014596285282779
105.23419007686	0.011383341570052
105.46150005420	0.0080608259059080
105.68881003154	0.0046754577306003
105.91612000888	0.0012749022519744
106.14342998622	-0.0020927179016907
106.37073996356	-0.0053792371847360
106.59804994090	-0.0085371862049192
106.82535991824	-0.011520775797051
107.05266989558	-0.014286959202890
107.27997987292	-0.016796034612857
107.50728985026	-0.019011818278647
107.73459982760	-0.020901762884206
107.96190980494	-0.022437403923535
108.18921978229	-0.023595222559488
108.41652975963	-0.024357376023971
108.64383973697	-0.024711943085282
108.87114971431	-0.024652748032089
109.09845969165	-0.024179105011947
109.32576966899	-0.023295931406957
109.55307964633	-0.022013991356104
109.78038962367	-0.020349980856485
110.00769960101	-0.018326127323670
110.23500957835	-0.015969591227456
110.46231955569	-0.013311970396147
110.68962953303	-0.010389065427511
110.91693951037	-0.0072406666357403
111.14424948771	-0.0039099948480426
111.37155946505	-0.00044281176202266
111.59886944239	0.0031134773289595
111.82617941973	0.0067104400946087
112.05348939707	0.010298984217508
112.28079937442	0.013829806236305
112.50810935176	0.017254138515824
112.73541932910	0.020524689777787
112.96272930644	0.023596477962292
113.19003928378	0.026427440020036
113.41734926112	0.028978861357058
113.64465923846	0.031215867614525
113.87196921580	0.033107958832293
114.09927919314	0.034629463519326
114.32658917048	0.035759842988193
114.55389914782	0.036483888748396
114.78120912516	0.036791923101337
115.00851910250	0.036680022487776
115.23582907984	0.036150121667116
115.46313905718	0.035209921690389
115.69044903452	0.033872704250925
115.91775901186	0.032157178233918
116.14506898920	0.030087401779792
116.37237896654	0.027692575489036
116.59968894389	0.025006509471777
116.82699892123	0.022066833629821
117.05430889857	0.018914268357084
117.28161887591	0.015592173517122
117.50892885325	0.012146307294916
117.73623883059	0.0086244881553338
117.96354880793	0.0050758643012077
118.19085878527	0.0015498883619980
118.41816876261	-0.0019046146443364
118.64547873995	-0.0052401165385450
