Frequency [GHz]	Zx imag [Ohm/m]	Zy imag [Ohm/m]
9.056428379445295063e-08	2.354926527012413740e+07	6.652076375508542359e+07
9.353431520292386860e-08	2.354832398885864764e+07	6.651925115621839464e+07
9.660174799522647250e-08	2.354735183852639794e+07	6.651768895207703114e+07
9.976977642363202159e-08	2.354634780678461865e+07	6.651607551586964726e+07
1.030416994950587396e-07	2.354532573236192018e+07	6.651441292098277807e+07
1.064209244064724761e-07	2.354427130280578882e+07	6.651269609516061842e+07
1.099109700929497372e-07	2.354318229351503775e+07	6.651092296649587154e+07
1.135154708920999096e-07	2.354205757045654207e+07	6.650909168855191022e+07
1.172381803286598596e-07	2.354089596240685508e+07	6.650720035433870554e+07
1.210829750232039531e-07	2.353969625973258540e+07	6.650524699432700127e+07
1.250538587290391570e-07	2.353845721313073114e+07	6.650322957439737767e+07
1.291549665014884007e-07	2.353719485711513460e+07	6.650115081768476963e+07
1.333905690039058854e-07	2.353589570227070525e+07	6.649900516948387027e+07
1.377650769549053468e-07	2.353455394199143723e+07	6.649678915532545000e+07
1.422830457214352017e-07	2.353316817904350534e+07	6.649450046757676452e+07
1.469491800624817218e-07	2.353173697037119418e+07	6.649213672292691469e+07
1.517683390283405561e-07	2.353025882559415698e+07	6.648969545990495384e+07
1.567455410205594968e-07	2.352873220545541495e+07	6.648717413631664217e+07
1.618859690178197646e-07	2.352717502669786289e+07	6.648457615182815492e+07
1.671949759731990056e-07	2.352557712336534634e+07	6.648189616182028502e+07
1.726780903884356132e-07	2.352392681722141057e+07	6.647912828225855529e+07
1.783410220710008120e-07	2.352222238972990215e+07	6.647626963082862645e+07
1.841896680799711039e-07	2.352046206599573046e+07	6.647331723069139570e+07
1.902301188668944219e-07	2.351864401291660592e+07	6.647026800738314539e+07
1.964686646180446931e-07	2.351676633727413788e+07	6.646711878561394662e+07
2.029118018046678038e-07	2.351484806927236915e+07	6.646387347284413129e+07
2.095662399480432992e-07	2.351288646609344706e+07	6.646052843436530232e+07
2.164389086064020114e-07	2.351086053266413882e+07	6.645707369624631107e+07
2.235369645909794139e-07	2.350876815929113328e+07	6.645350566091685742e+07
2.308677994187169850e-07	2.350660716709428281e+07	6.644982061282528937e+07
2.384390470093720426e-07	2.350437530573765934e+07	6.644601471456945688e+07
2.462585916350547006e-07	2.350207025108616799e+07	6.644208400290060788e+07
2.543345761304648365e-07	2.349971058535123244e+07	6.643803234753928334e+07
2.626754103723835758e-07	2.349730749554953352e+07	6.643386070734667778e+07
2.712897800372467241e-07	2.349482559706200659e+07	6.642955225933230668e+07
2.801866556459195443e-07	2.349226230537893251e+07	6.642510251692030579e+07
2.893753019050950594e-07	2.348961495123228058e+07	6.642050684639880061e+07
2.988652873550382326e-07	2.348688077781609446e+07	6.641576046209454536e+07
3.086664943337274455e-07	2.348405693791570887e+07	6.641085842138946056e+07
3.187891292677645596e-07	2.348115880422108620e+07	6.640580333070676774e+07
3.292437333007768907e-07	2.347822146165575087e+07	6.640060596985642612e+07
3.400411932703706463e-07	2.347518778972843289e+07	6.639523816295030713e+07
3.511927530450727317e-07	2.347205462934352458e+07	6.638969432025570422e+07
3.627100252330649086e-07	2.346881871780373529e+07	6.638396866872614622e+07
3.746050032748993774e-07	2.346547668541248515e+07	6.637805524598960578e+07
3.868900739327976195e-07	2.346202505196490139e+07	6.637194789413970709e+07
3.995780301895269929e-07	2.345847146342055872e+07	6.636564550622613728e+07
4.126820845702951630e-07	2.345488986807578802e+07	6.635917780673943460e+07
4.262158829015325345e-07	2.345119081527185068e+07	6.635249800078191608e+07
4.401935185208874400e-07	2.344737045302284881e+07	6.634559913237877190e+07
4.546295469532399562e-07	2.344342480301806331e+07	6.633847401743578166e+07
4.695390010680058238e-07	2.343934975647912174e+07	6.633111523625835776e+07
4.849374067335232931e-07	2.343514106988137960e+07	6.632351512582495809e+07
5.008407989848212921e-07	2.343079436053493246e+07	6.631566577180735767e+07
5.172657387216018967e-07	2.342643589064035937e+07	6.630762680419813842e+07
5.342293299538352136e-07	2.342193739634369314e+07	6.629932570964623243e+07
5.517492376129122323e-07	2.341729137513252348e+07	6.629075238292385638e+07
5.698437059469141914e-07	2.341249298890124634e+07	6.628189789624996483e+07
5.885315775191450570e-07	2.340753724087987095e+07	6.627275302905932069e+07
6.078323128297229089e-07	2.340241897043067589e+07	6.626330825840073079e+07
6.277660105806500796e-07	2.339713284767421335e+07	6.625355374902036786e+07
6.483534286054720147e-07	2.339182346602604911e+07	6.624356568553657085e+07
6.696160054853222944e-07	2.338636840333664790e+07	6.623326642526871711e+07
6.915758828738524922e-07	2.338073444332874194e+07	6.622262940352141112e+07
7.142559285543126448e-07	2.337491571911273524e+07	6.621164354349749535e+07
7.376797602527731619e-07	2.336890617139595747e+07	6.620029740513918549e+07
7.618717702322991504e-07	2.336269954217285290e+07	6.618857917321509868e+07
7.868571506936852863e-07	2.335628936820825562e+07	6.617647664501649886e+07
8.126619200091945450e-07	2.334983602541971952e+07	6.616408388204895705e+07
8.393129498166364485e-07	2.334324135377265885e+07	6.615132959357898682e+07
8.668379930019773693e-07	2.333643041163684055e+07	6.613815703163784742e+07
8.952657125996391396e-07	2.332939610647955909e+07	6.612455247905915231e+07
9.246257116405743783e-07	2.332213111317040771e+07	6.611050176882576197e+07
9.549485639791965964e-07	2.331462786635329202e+07	6.609599026931698620e+07
9.862658461312820294e-07	2.330687855256828666e+07	6.608100286907208711e+07
1.018610170155975315e-06	2.329905341439700127e+07	6.606565022456075996e+07
1.052015217616159169e-06	2.329110756148510799e+07	6.604989033148745447e+07
1.086515774652537176e-06	2.328290112645710632e+07	6.603361359694574028e+07
1.122147768207980340e-06	2.327442556359234452e+07	6.601680307125820965e+07
1.158948303439811928e-06	2.326567204691557214e+07	6.599944124888734519e+07
1.196955702359042833e-06	2.325663146100603789e+07	6.598151005020619929e+07
1.236209543736769070e-06	2.324729439150520787e+07	6.596299080267132819e+07
1.276750704319264407e-06	2.323782987237322703e+07	6.594400462688860297e+07
1.318621401394748678e-06	2.322829023863890767e+07	6.592458059979243577e+07
1.361865236756082925e-06	2.321843775517366081e+07	6.590451956693485379e+07
1.406527242105236574e-06	2.320826216215443984e+07	6.588380063788269460e+07
1.452653925946781372e-06	2.319775286329003423e+07	6.586240223710661381e+07
1.500293322019216825e-06	2.318689891478671879e+07	6.584030208151359856e+07
1.549495039314631713e-06	2.317568901395196840e+07	6.581747715724253654e+07
1.600310313738701654e-06	2.316427251082703844e+07	6.579404382441640645e+07
1.652792061464893799e-06	2.315286344549426436e+07	6.577017429256773740e+07
1.706994934038407828e-06	2.314108022292245552e+07	6.574552196582105011e+07
1.762975375287203917e-06	2.312891057272526249e+07	6.572006117262752354e+07
1.820791680099462520e-06	2.311634182211230323e+07	6.569376539954677969e+07
1.880504055128583443e-06	2.310336088269243762e+07	6.566660726363725215e+07
1.942174681489024486e-06	2.308995423684424162e+07	6.563855848394114524e+07
2.005867779508234000e-06	2.307622269693837315e+07	6.560970053273916245e+07
2.071649675602067297e-06	2.306263419491454959e+07	6.558046839474348724e+07
2.139588871343421664e-06	2.304860006160967052e+07	6.555027759661883116e+07
2.209756114795903333e-06	2.303410568266534433e+07	6.551909669936325401e+07
2.282224474186896537e-06	2.301913596444920823e+07	6.548689323294118792e+07
2.357069413996727979e-06	2.300367531833727285e+07	6.545363366247095168e+07
2.434368873543112862e-06	2.298770764448080212e+07	6.541928335330341011e+07
2.514203348142796913e-06	2.297124215232739225e+07	6.538383406297341734e+07
2.596655972934872394e-06	2.295512947079276294e+07	6.534817343690805882e+07
2.681812609453013329e-06	2.293848837818671390e+07	6.531134333017081767e+07
2.769761935036891063e-06	2.292130154540980980e+07	6.527330538995658606e+07
2.860595535175745131e-06	2.290355107505944744e+07	6.523402000569027662e+07
2.954407998880380251e-06	2.288521848279251903e+07	6.519344626777862757e+07
3.051297017182871440e-06	2.286628467807681113e+07	6.515154192500920594e+07
3.151363484866476280e-06	2.284672994431124628e+07	6.510826334055242687e+07
3.254711605531848180e-06	2.282759004029411823e+07	6.506480736521825194e+07
3.361449000108768764e-06	2.280795123985344172e+07	6.502007771189131588e+07
