Frequency [GHz]	Zx imag [Ohm/m]	Zy imag [Ohm/m]
1.009262190987047331e-08	2.166107935505984351e+06	1.527872045160053531e+06
1.042360673976401127e-08	2.165990524380711373e+06	1.527735628299527336e+06
1.076544612842315905e-08	2.165869262789060827e+06	1.527594737684631255e+06
1.111849604819270880e-08	2.165744024456020910e+06	1.527449226599789690e+06
1.148312414543511117e-08	2.165614678965421859e+06	1.527298943517929642e+06
1.185971012337669343e-08	2.165481091624134220e+06	1.527143731942687649e+06
1.224864613750930795e-08	2.165343123321800958e+06	1.526983430245444877e+06
1.265033720395903769e-08	2.165200746973442845e+06	1.526818460893596755e+06
1.306520162124721228e-08	2.165054372859091032e+06	1.526651475755947176e+06
1.349367140588306343e-08	2.164903198444899172e+06	1.526479014385474380e+06
1.393619274224142065e-08	2.164747066306320950e+06	1.526300897190590389e+06
1.439322644719406651e-08	2.164585813856114168e+06	1.526116938690049574e+06
1.486524844997857277e-08	2.164419273175031412e+06	1.525926947319799801e+06
1.535275028780422776e-08	2.164247270836959127e+06	1.525730725233495701e+06
1.585623961771137302e-08	2.164069644264013506e+06	1.525528143542281119e+06
1.637624074521687477e-08	2.163887352040832397e+06	1.525324208876512479e+06
1.691329517029648562e-08	2.163699081593061332e+06	1.525113586228050757e+06
1.746796215127245689e-08	2.163504636866427492e+06	1.524896056266297121e+06
1.804081928719382751e-08	2.163303815377111081e+06	1.524671392467763042e+06
1.863246311931559514e-08	2.163096408000888303e+06	1.524439360880184220e+06
1.924350975230330612e-08	2.162882198755364865e+06	1.524199719878894044e+06
1.987459549580983990e-08	2.162660964575059712e+06	1.523952219915209804e+06
2.052637752709252173e-08	2.162434013320314232e+06	1.523702927482376108e+06
2.119953457536071000e-08	2.162199835313196760e+06	1.523446347838195972e+06
2.189476762856620985e-08	2.161957977501113899e+06	1.523181353733368684e+06
2.261280066337277307e-08	2.161708188026921824e+06	1.522907669217913877e+06
2.335438139906479724e-08	2.161450206773886923e+06	1.522625009292143863e+06
2.412028207618007283e-08	2.161183765094819013e+06	1.522333079609884415e+06
2.491130026067788373e-08	2.160908585532314144e+06	1.522031576171956025e+06
