Frequency [GHz]	Zx real [Ohm/m]	Zy real [Ohm/m]
1.691329517029648562e-08	1.893183338197024568e+04	3.119831929525837768e+04
1.746796215127245689e-08	1.943861078785044811e+04	3.207477258510365573e+04
1.804081928719382751e-08	1.996200782289906783e+04	3.297996892562889116e+04
1.863246311931559514e-08	2.050256952339928466e+04	3.391485093747566862e+04
1.924350975230330612e-08	2.106085879995306095e+04	3.488039215427680756e+04
1.987459549580983990e-08	2.163745702366466139e+04	3.587759803643967462e+04
2.052637752709252173e-08	2.220785690922491995e+04	3.687424289395385858e+04
2.119953457536071000e-08	2.279343640883509579e+04	3.789890035022803931e+04
2.189476762856620985e-08	2.339821983115222247e+04	3.895716117308950197e+04
2.261280066337277307e-08	2.402283696367326047e+04	4.005012737593702332e+04
2.335438139906479724e-08	2.466793824760734424e+04	4.117893711240345147e+04
2.412028207618007283e-08	2.533419545520858446e+04	4.234476586156474514e+04
2.491130026067788373e-08	2.602230238932217981e+04	4.354882765201818984e+04
2.572825967447932303e-08	2.670657325323567784e+04	4.475706513653125148e+04
2.657201105324503850e-08	2.740399686626584298e+04	4.599250479445389647e+04
2.744343303228365032e-08	2.812429229971930181e+04	4.726846036476019071e+04
2.834343306151309448e-08	2.886820962881529340e+04	4.858626055593513593e+04
2.927294835042816131e-08	2.963652352728884580e+04	4.994727765110239852e+04
3.023294684405776334e-08	3.043003407409244755e+04	5.135292893704278686e+04
3.122442823092858392e-08	3.124956758655335216e+04	5.280467818007717142e+04
3.224842498408442807e-08	3.206917113725172021e+04	5.426780895187876740e+04
3.330600343624588813e-08	3.289802612697288714e+04	5.575509986869210843e+04
3.439826489022924478e-08	3.375406319388163683e+04	5.729116609240783873e+04
3.552634676578139226e-08	3.463817376691235404e+04	5.887760719614008121e+04
3.669142378402493899e-08	3.555127850917234900e+04	6.051607521057447593e+04
3.789470919074667737e-08	3.649432827666866069e+04	6.220827634429998579e+04
3.913745601980383687e-08	3.746830510847624100e+04	6.395597276055896509e+04
4.042095839796305955e-08	3.844839948588832340e+04	6.572567868967133109e+04
4.174655289253134782e-08	3.943121086392674624e+04	6.751319248395461182e+04
4.311561990318228626e-08	4.044625327763485984e+04	6.935932731392288406e+04
4.452958509942655287e-08	4.149458373518686858e+04	7.126600564072614361e+04
4.598992090522439315e-08	4.257729390905676701e+04	7.323521297211259662e+04
4.749814803228499868e-08	4.369551127282464586e+04	7.526899993002470001e+04
4.905583706365045989e-08	4.485040027526441554e+04	7.736948438600181544e+04
5.066461008921269181e-08	4.602038011178363377e+04	7.950730515325926535e+04
5.232614239486661694e-08	4.718291307246320503e+04	8.165179312587894674e+04
5.404216420705915059e-08	4.838357098993521504e+04	8.386660900666410453e+04
5.581446249454960394e-08	4.962360416193708807e+04	8.615405918050945911e+04
5.764488282925879445e-08	5.090430388938541000e+04	8.851652566958410898e+04
5.953533130814369715e-08	5.222700382106402685e+04	9.095646861383540090e+04
6.148777653810024108e-08	5.359308134241127118e+04	9.347642883284093114e+04
6.350425168595962148e-08	5.498716904524865822e+04	9.605545275918437983e+04
6.558685659571428548e-08	5.635872149441170041e+04	9.862320777857824578e+04
6.773775997517751128e-08	5.777525363845787797e+04	1.012751716354667878e+05
6.995920165435375620e-08	5.923824057442258345e+04	1.040141059361006628e+05
7.225349491787214948e-08	6.074920577475317987e+04	1.068428628528674308e+05
7.462302891391107044e-08	6.230972267376747914e+04	1.097643880943834229e+05
7.707027114212294845e-08	6.392141630613994494e+04	1.127817239729893918e+05
7.959777002314985573e-08	6.557930065525246027e+04	1.158885086806470645e+05
8.220815755240541849e-08	6.719297013878794678e+04	1.189565897668381658e+05
