Frequency [GHz]	Zx imag [Ohm/m]	Zy imag [Ohm/m]
3.593813663804627762e-09	2.960547411867428105e+06	7.225903965921485797e+06
3.711671819475765297e-09	2.960538292734213639e+06	7.225892306855385192e+06
3.833395101766601886e-09	2.960528874541469850e+06	7.225880265433337539e+06
3.959110266468459240e-09	2.960519147481620312e+06	7.225867829116082750e+06
4.088948226294862618e-09	2.960509101425450761e+06	7.225854984953136183e+06
4.223044187206674123e-09	2.960498725911561865e+06	7.225841719569310546e+06
4.361537789208003199e-09	2.960488010135476477e+06	7.225828019150777720e+06
4.504573251759458750e-09	2.960476942938387394e+06	7.225813869430691004e+06
4.652299523960189308e-09	2.960465512795536313e+06	7.225799255674328655e+06
4.804870439655131104e-09	2.960453707804215141e+06	7.225784162663743831e+06
4.962444877628916452e-09	2.960441515671367757e+06	7.225768574681923725e+06
5.125186927053329472e-09	2.960428923700792249e+06	7.225752475496416911e+06
5.293266058360561204e-09	2.960415918779917527e+06	7.225735848342439160e+06
5.466857299720180771e-09	2.960402487366149202e+06	7.225718675905401818e+06
5.646141419303669251e-09	2.960388615472766571e+06	7.225700940302897245e+06
5.831305113526221869e-09	2.960374288654359523e+06	7.225682623066063039e+06
6.022541201461928965e-09	2.960359491991783958e+06	7.225663705120356753e+06
6.220048825634711276e-09	2.960344210076625459e+06	7.225644166765692644e+06
6.424033659394191079e-09	2.960328426995156333e+06	7.225623987655925564e+06
6.634708121092347870e-09	2.960312126311761327e+06	7.225603146777663380e+06
6.852291595284060743e-09	2.960295291051824577e+06	7.225581622428385541e+06
7.077010661181889919e-09	2.960277903684051242e+06	7.225559392193843611e+06
7.309099328602911004e-09	2.960259946102212649e+06	7.225536432924718596e+06
7.548799281653435948e-09	2.960241399606292602e+06	7.225512720712518319e+06
7.796360130405233414e-09	2.960222244883010164e+06	7.225488230864674784e+06
8.052039670825474778e-09	2.960202461985712871e+06	7.225462937878837809e+06
8.316104153230961616e-09	2.960182030313602183e+06	7.225436815416309983e+06
8.588828559546249041e-09	2.960160928590282332e+06	7.225409836274625733e+06
8.870496889654407999e-09	2.960139134841602296e+06	7.225381972359224223e+06
9.161402457138517586e-09	2.960116626372777391e+06	7.225353194654186256e+06
9.461848194721997291e-09	2.960093379744751379e+06	7.225323473192025907e+06
9.772146969725725887e-09	2.960069370749791153e+06	7.225292777022482827e+06
1.009262190987047331e-08	2.960044730570432264e+06	7.225261088669573888e+06
1.042360673976401127e-08	2.960019679141634610e+06	7.225228397918699309e+06
1.076544612842315905e-08	2.959993806157945655e+06	7.225194635083413683e+06
1.111849604819270880e-08	2.959967084676692728e+06	7.225159765004996210e+06
1.148312414543511117e-08	2.959939486871625297e+06	7.225123751371704042e+06
1.185971012337669343e-08	2.959910984003939200e+06	7.225086556680964306e+06
1.224864613750930795e-08	2.959881546392348595e+06	7.225048142200311646e+06
1.265033720395903769e-08	2.959851180480895564e+06	7.225008471428972669e+06
1.306520162124721228e-08	2.959820032379344571e+06	7.224967519832836464e+06
1.349367140588306343e-08	2.959787862784153316e+06	7.224925225240084343e+06
1.393619274224142065e-08	2.959754638195712119e+06	7.224881543607502244e+06
1.439322644719406651e-08	2.959720324015799444e+06	7.224836429447488859e+06
1.486524844997857277e-08	2.959684884511556011e+06	7.224789835780692287e+06
1.535275028780422776e-08	2.959648282778271008e+06	7.224741714087083936e+06
1.585623961771137302e-08	2.959610485580138862e+06	7.224692014904981479e+06
1.637624074521687477e-08	2.959571790985761676e+06	7.224640731401037425e+06
1.691329517029648562e-08	2.959531827412535436e+06	7.224587766068330035e+06
1.746796215127245689e-08	2.959490553244638722e+06	7.224533063751734793e+06
1.804081928719382751e-08	2.959447925501470920e+06	7.224476567487332039e+06
1.863246311931559514e-08	2.959403899792893790e+06	7.224418218443083577e+06
1.924350975230330612e-08	2.959358430273005739e+06	7.224357955857572146e+06
1.987459549580983990e-08	2.959311469592402689e+06	7.224295716976722702e+06
2.052637752709252173e-08	2.959263388342098333e+06	7.224231494136289693e+06
2.119953457536071000e-08	2.959213789199870080e+06	7.224165173151700757e+06
2.189476762856620985e-08	2.959162563467069063e+06	7.224096677188203670e+06
2.261280066337277307e-08	2.959109657800093293e+06	7.224025934917944483e+06
2.335438139906479724e-08	2.959055017105951905e+06	7.223952872673898004e+06
2.412028207618007283e-08	2.958998584484895226e+06	7.223877414373143576e+06
2.491130026067788373e-08	2.958940301171158906e+06	7.223799481437643990e+06
2.572825967447932303e-08	2.958880595045321155e+06	7.223719068203752860e+06
2.657201105324503850e-08	2.958819102741845883e+06	7.223636044395499863e+06
2.744343303228365032e-08	2.958755593814762775e+06	7.223550297843712382e+06
2.834343306151309448e-08	2.958690002129441127e+06	7.223461739256746136e+06
2.927294835042816131e-08	2.958622259382384364e+06	7.223370276414659806e+06
3.023294684405776334e-08	2.958552295030097477e+06	7.223275814073188230e+06
3.122442823092858392e-08	2.958480036215633620e+06	7.223178253864550963e+06
3.224842498408442807e-08	2.958405957097686827e+06	7.223077586446627975e+06
3.330600343624588813e-08	2.958329809851091355e+06	7.222973678330270573e+06
3.439826489022924478e-08	2.958251165375957731e+06	7.222866362575091422e+06
3.552634676578139226e-08	2.958169941776345018e+06	7.222755527428491041e+06
3.669142378402493899e-08	2.958086054470557719e+06	7.222641057472970337e+06
3.789470919074667737e-08	2.957999416103065480e+06	7.222522833505946212e+06
3.913745601980383687e-08	2.957909936453537550e+06	7.222400732415617444e+06
4.042095839796305955e-08	2.957818106067165267e+06	7.222274736222968437e+06
4.174655289253134782e-08	2.957723929253519047e+06	7.222144732413138263e+06
4.311561990318228626e-08	2.957626663936516270e+06	7.222010465163215995e+06
4.452958509942655287e-08	2.957526208829517476e+06	7.221871794654825702e+06
4.598992090522439315e-08	2.957422459324214607e+06	7.221728576484289020e+06
4.749814803228499868e-08	2.957315307381698396e+06	7.221580661512243561e+06
4.905583706365045989e-08	2.957204641419953201e+06	7.221427895708343014e+06
5.066461008921269181e-08	2.957090915774524212e+06	7.221270237949197181e+06
5.232614239486661694e-08	2.956974605909884907e+06	7.221107647052822635e+06
5.404216420705915059e-08	2.956854481694414746e+06	7.220939724031588994e+06
5.581446249454960394e-08	2.956730418037501629e+06	7.220766294019891880e+06
5.764488282925879445e-08	2.956602285746219102e+06	7.220587176417454146e+06
5.953533130814369715e-08	2.956469951390794013e+06	7.220402184701261111e+06
6.148777653810024108e-08	2.956333277165658772e+06	7.220211126231330447e+06
6.350425168595962148e-08	2.956192583416823763e+06	7.220013907680246048e+06
6.558685659571428548e-08	2.956049156487922184e+06	7.219810650803699158e+06
6.773775997517751128e-08	2.955901025911337230e+06	7.219600728172376752e+06
6.995920165435375620e-08	2.955748037432204001e+06	7.219383921184633859e+06
7.225349491787214948e-08	2.955590031736910809e+06	7.219160004069852643e+06
7.462302891391107044e-08	2.955426844287198968e+06	7.218928743653317913e+06
7.707027114212294845e-08	2.955258305148821790e+06	7.218689899113420397e+06
7.959777002314985573e-08	2.955084441372852307e+06	7.218443272995105013e+06
8.220815755240541849e-08	2.954907872198067140e+06	7.218189317184302956e+06
8.490415204088747078e-08	2.954725512484529521e+06	7.217927032960766926e+06
8.768856094587425811e-08	2.954537172333074268e+06	7.217656147196432576e+06
9.056428379445295063e-08	2.954342655616841745e+06	7.217376377806077711e+06
9.353431520292386860e-08	2.954141759777047206e+06	7.217087433453565463e+06
9.660174799522647250e-08	2.953934275612042751e+06	7.216789013248474337e+06
9.976977642363202159e-08	2.953719987059469335e+06	7.216480806432757527e+06
1.030416994950587396e-07	2.953502705472718459e+06	7.216163624805776402e+06
1.064209244064724761e-07	2.953278613576925360e+06	7.215836129840836860e+06
1.099109700929497372e-07	2.953047172647485044e+06	7.215497894766316749e+06
1.135154708920999096e-07	2.952808141674808692e+06	7.215148567363202572e+06
1.172381803286598596e-07	2.952561271745463368e+06	7.214787783861551434e+06
1.210829750232039531e-07	2.952306305782965850e+06	7.214415168561683036e+06
1.250538587290391570e-07	2.952042978280079551e+06	7.214030333442946896e+06
1.291549665014884007e-07	2.951775679191231728e+06	7.213634329239411280e+06
1.333905690039058854e-07	2.951500852455366403e+06	7.213225723557690158e+06
1.377650769549053468e-07	2.951217012850374449e+06	7.212803717762177810e+06
1.422830457214352017e-07	2.950923864801628515e+06	7.212367872399731539e+06
1.469491800624817218e-07	2.950621103041211609e+06	7.211917733605466783e+06
1.517683390283405561e-07	2.950308412290026434e+06	7.211452832630116493e+06
1.567455410205594968e-07	2.949985466929482296e+06	7.210972685351911932e+06
1.618859690178197646e-07	2.949657146260093898e+06	7.210478591140552424e+06
1.671949759731990056e-07	2.949320823805726599e+06	7.209969247299210168e+06
1.726780903884356132e-07	2.948973471746630501e+06	7.209443199663137086e+06
1.783410220710008120e-07	2.948614728369874414e+06	7.208899900435863063e+06
1.841896680799711039e-07	2.948244220100250095e+06	7.208338783856077120e+06
1.902301188668944219e-07	2.947861561111249961e+06	7.207759265608483925e+06
1.964686646180446931e-07	2.947466352923288941e+06	7.207160742215316743e+06
2.029118018046678038e-07	2.947063749261489138e+06	7.206544720819273964e+06
2.095662399480432992e-07	2.946653133242022246e+06	7.205910484274703078e+06
2.164389086064020114e-07	2.946229051180274691e+06	7.205255448112680577e+06
2.235369645909794139e-07	2.945791061461000703e+06	7.204578930215327069e+06
2.308677994187169850e-07	2.945338707986299414e+06	7.203880226094890386e+06
