Frequency [GHz]	Zx imag [Ohm/m]	Zy imag [Ohm/m]
4.962444877628916452e-09	1.324870970408087410e+07	3.746719149167412519e+07
5.125186927053329472e-09	1.324687902334023267e+07	3.746396058035542816e+07
5.293266058360561204e-09	1.324498830591547117e+07	3.746062371216618270e+07
5.466857299720180771e-09	1.324303558291963115e+07	3.745717741227921844e+07
5.646141419303669251e-09	1.324101882089663111e+07	3.745361809191135317e+07
5.831305113526221869e-09	1.323893591970374063e+07	3.744994204458621144e+07
6.022541201461928965e-09	1.323678471032461710e+07	3.744614544227451086e+07
6.220048825634711276e-09	1.323456295261060447e+07	3.744222433140780032e+07
6.424033659394191079e-09	1.323226833294796944e+07	3.743817462876139581e+07
6.634708121092347870e-09	1.322989846184864454e+07	3.743399211720234901e+07
6.852291595284060743e-09	1.322745087146193348e+07	3.742967244129797071e+07
7.077010661181889919e-09	1.322492301300464384e+07	3.742521110278033465e+07
7.309099328602911004e-09	1.322231225410691649e+07	3.742060345586200804e+07
7.548799281653435948e-09	1.321961587607103400e+07	3.741584470239822567e+07
7.796360130405233414e-09	1.321683107104031555e+07	3.741092988689032942e+07
8.052039670825474778e-09	1.321395493907516450e+07	3.740585389132541418e+07
8.316104153230961616e-09	1.321098448513325304e+07	3.740061142984673381e+07
8.588828559546249041e-09	1.320791661595064029e+07	3.739519704324926436e+07
8.870496889654407999e-09	1.320474813682062179e+07	3.738960509329481423e+07
9.161402457138517586e-09	1.320147574826694094e+07	3.738382975684071332e+07
9.461848194721997291e-09	1.319809604260791093e+07	3.737786501977586001e+07
9.772146969725725887e-09	1.319460550040782616e+07	3.737170467075799406e+07
1.009262190987047331e-08	1.319110870941529237e+07	3.736539700596103072e+07
1.042360673976401127e-08	1.318777220434603468e+07	3.735902148831833154e+07
1.076544612842315905e-08	1.318432627948748320e+07	3.735243688728369027e+07
1.111849604819270880e-08	1.318076734644698165e+07	3.734563634602332860e+07
1.148312414543511117e-08	1.317709169915150106e+07	3.733861278283542395e+07
1.185971012337669343e-08	1.317329550998833589e+07	3.733135888377566636e+07
1.224864613750930795e-08	1.316937482581925020e+07	3.732386709504086524e+07
