Frequency [GHz]	Zx real [Ohm/m]	Zy real [Ohm/m]
4.088948226294862618e-09	5.814024997484644700e+03	5.791499794580464368e+03
4.223044187206674123e-09	5.985276361241170889e+03	5.955717065548280516e+03
4.361537789208003199e-09	6.162143867562846935e+03	6.125319797893948817e+03
4.504573251759458750e-09	6.344811696339519585e+03	6.300484606379618526e+03
4.652299523960189308e-09	6.533470067591137195e+03	6.481393897801206549e+03
4.804870439655131104e-09	6.728315439552219686e+03	6.668236060936617832e+03
4.962444877628916452e-09	6.929550713252412606e+03	6.861205662723206842e+03
5.125186927053329472e-09	7.137385443806237163e+03	7.060503650868893601e+03
5.293266058360561204e-09	7.352036058632028471e+03	7.266337563107808819e+03
5.466857299720180771e-09	7.573726082827265600e+03	7.478921743318424888e+03
5.646141419303669251e-09	7.802686371935094030e+03	7.698477564729261758e+03
5.831305113526221869e-09	8.039155352344296261e+03	7.925233660444509951e+03
6.022541201461928965e-09	8.283379269573171769e+03	8.159426161529730962e+03
6.220048825634711276e-09	8.535612444695758313e+03	8.401298942905463264e+03
6.424033659394191079e-09	8.796117539177554136e+03	8.651103877304909474e+03
6.634708121092347870e-09	9.065165828396411598e+03	8.909101097560016569e+03
6.852291595284060743e-09	9.343037484133445105e+03	9.175559267489223203e+03
7.077010661181889919e-09	9.630021866328255783e+03	9.450755861668874786e+03
7.309099328602911004e-09	9.926417824402067708e+03	9.734977454379653864e+03
7.548799281653435948e-09	1.023253400846277327e+04	1.002852001802896302e+04
7.796360130405233414e-09	1.054868919071579876e+04	1.033168923135994919e+04
8.052039670825474778e-09	1.087521259741559879e+04	1.064480079776820457e+04
8.316104153230961616e-09	1.121244425170338764e+04	1.096818077405754593e+04
8.588828559546249041e-09	1.156073532768812220e+04	1.130216590997724961e+04
8.870496889654407999e-09	1.192044851613954779e+04	1.164710399889436121e+04
9.161402457138517586e-09	1.229195840217394107e+04	1.200335423996613645e+04
9.461848194721997291e-09	1.267565185532607393e+04	1.237128761218992258e+04
9.772146969725725887e-09	1.307192843241339324e+04	1.275128726071983328e+04
1.009262190987047331e-08	1.346275961162184649e+04	1.312078897647776830e+04
1.042360673976401127e-08	1.381955429974231993e+04	1.344407390601282896e+04
1.076544612842315905e-08	1.418804997400982393e+04	1.377796087814544262e+04
1.111849604819270880e-08	1.456863036512820872e+04	1.412279758402036350e+04
1.148312414543511117e-08	1.496169178814693259e+04	1.447894311722026941e+04
1.185971012337669343e-08	1.536764355516123760e+04	1.484676834770559435e+04
1.224864613750930795e-08	1.578690840154680154e+04	1.522665630801771476e+04
1.265033720395903769e-08	1.621669655117077673e+04	1.561517056006385246e+04
1.306520162124721228e-08	1.664199876717932784e+04	1.599435732786151129e+04
1.349367140588306343e-08	1.708124865534641140e+04	1.638597942405630602e+04
1.393619274224142065e-08	1.753490362584137256e+04	1.679044466190934691e+04
1.439322644719406651e-08	1.800343608947740722e+04	1.720817422880831509e+04
1.486524844997857277e-08	1.848733394965373009e+04	1.763960312486836119e+04
1.535275028780422776e-08	1.898710111043067809e+04	1.808518061591677906e+04
1.585623961771137302e-08	1.950287303547834745e+04	1.854492185342902303e+04
1.637624074521687477e-08	2.000856383392841599e+04	1.898826471918345123e+04
1.691329517029648562e-08	2.053083862654755285e+04	1.944614689536848891e+04
1.746796215127245689e-08	2.107024128097864377e+04	1.991904519477196664e+04
1.804081928719382751e-08	2.162733350085817438e+04	2.040745206712931031e+04
1.863246311931559514e-08	2.220269541074278459e+04	2.091187611193298289e+04
1.924350975230330612e-08	2.279692616021844151e+04	2.143284260805946906e+04
1.987459549580983990e-08	2.341064454782116809e+04	2.197089406076519663e+04
2.052637752709252173e-08	2.401436460481553877e+04	2.249216760823611912e+04
2.119953457536071000e-08	2.463365229327102497e+04	2.302570128801151077e+04
2.189476762856620985e-08	2.527324935545011977e+04	2.357673206178486362e+04
2.261280066337277307e-08	2.593382183181952496e+04	2.414583374206320877e+04
2.335438139906479724e-08	2.661605760546453166e+04	2.473359895938093541e+04
2.412028207618007283e-08	2.732066711841171855e+04	2.534063977943185455e+04
2.491130026067788373e-08	2.804838411144354541e+04	2.596758834044019750e+04
2.572825967447932303e-08	2.876810173489333829e+04	2.657947448245734995e+04
2.657201105324503850e-08	2.950021306476632162e+04	2.719889591766515150e+04
2.744343303228365032e-08	3.025633378943733987e+04	2.783863111278546785e+04
2.834343306151309448e-08	3.103725129057228696e+04	2.849934625212885658e+04
2.927294835042816131e-08	3.184377877180777068e+04	2.918172936734179893e+04
3.023294684405776334e-08	3.267675610557563778e+04	2.988649105388417956e+04
3.122442823092858392e-08	3.353705070769901067e+04	3.061436521100347818e+04
3.224842498408442807e-08	3.439301132163822331e+04	3.133057439297822202e+04
3.330600343624588813e-08	3.525564069185226253e+04	3.204690418657658665e+04
3.439826489022924478e-08	3.614655976100786938e+04	3.278672582372156467e+04
3.552634676578139226e-08	3.706669628219791775e+04	3.355080971312455222e+04
3.669142378402493899e-08	3.801700843392927345e+04	3.433995152884413255e+04
3.789470919074667737e-08	3.899848581791593460e+04	3.515497303885624569e+04
3.913745601980383687e-08	4.001215048959496198e+04	3.599672296079737862e+04
4.042095839796305955e-08	4.102751379318116233e+04	3.683250330160642625e+04
4.174655289253134782e-08	4.204023253781360108e+04	3.765743626252452668e+04
4.311561990318228626e-08	4.308616312218559324e+04	3.850942267874706886e+04
4.452958509942655287e-08	4.416639471967785357e+04	3.938934976108818228e+04
4.598992090522439315e-08	4.528205222282026807e+04	4.029813381620291329e+04
4.749814803228499868e-08	4.643429741469158762e+04	4.123672120077733416e+04
4.905583706365045989e-08	4.762433017873523931e+04	4.220608930701139616e+04
5.066461008921269181e-08	4.882539354791985534e+04	4.317825132713682979e+04
5.232614239486661694e-08	5.000954689025422704e+04	4.412398551915798453e+04
5.404216420705915059e-08	5.123253422400138516e+04	4.510073481047306268e+04
5.581446249454960394e-08	5.249562909949906316e+04	4.610951633294884959e+04
5.764488282925879445e-08	5.380014683282692567e+04	4.715138057501905860e+04
5.953533130814369715e-08	5.514744587550275901e+04	4.822741247560385091e+04
6.148777653810024108e-08	5.653892922909779736e+04	4.933873255390457780e+04
6.350425168595962148e-08	5.795529762718026177e+04	5.046562429071946099e+04
6.558685659571428548e-08	5.933377025732415495e+04	5.154461674552543263e+04
6.773775997517751128e-08	6.075744952783126791e+04	5.265899446862938930e+04
6.995920165435375620e-08	6.222781797835320322e+04	5.380991791041894612e+04
7.225349491787214948e-08	6.374640676803207316e+04	5.499858557794123772e+04
7.462302891391107044e-08	6.531479726996357931e+04	5.622623528296063887e+04
7.707027114212294845e-08	6.693462271795017296e+04	5.749414543094652618e+04
7.959777002314985573e-08	6.859929214835204766e+04	5.879556099325852847e+04
8.220815755240541849e-08	7.019610219745166251e+04	6.002019843441959529e+04
8.490415204088747078e-08	7.184527920403696771e+04	6.128499753216145473e+04
8.768856094587425811e-08	7.354854052844013495e+04	6.259127537724508147e+04
9.056428379445295063e-08	7.530765985136509698e+04	6.394039225406994228e+04
9.353431520292386860e-08	7.712446902089875948e+04	6.533375305719755852e+04
9.660174799522647250e-08	7.900085996009517112e+04	6.677280875433012261e+04
9.976977642363202159e-08	8.093878663711767877e+04	6.825905789726658259e+04
1.030416994950587396e-07	8.278984889231527632e+04	6.965198395505954977e+04
1.064209244064724761e-07	8.468985784649581183e+04	7.107948529981711181e+04
1.099109700929497372e-07	8.665217708497225249e+04	7.255380116848986654e+04
1.135154708920999096e-07	8.867885005681389885e+04	7.407646683083959215e+04
1.172381803286598596e-07	9.077198722545448982e+04	7.564906790538829227e+04
