Freq	y_dipolar
1.2134123220601897e-11	7942.443606031245
1.2150900395659153e-11	7944.783790863109
1.2167700767580143e-11	7947.127211337952
1.2184524368437878e-11	7949.473871929516
1.2201371230349713e-11	7951.823777117729
1.2218241385477408e-11	7954.176931388714
1.2235134866027195e-11	7956.533339234797
1.2252051704249831e-11	7958.893005154513
1.2268991932440668e-11	7961.255933652622
1.228595558293971e-11	7963.622129240105
1.2302942688131725e-11	7965.991596434194
1.2319953280446109e-11	7968.364339758342
1.2336987392357246e-11	7970.7403637422785
1.2354045056384366e-11	7973.119672921987
1.237112630509167e-11	7975.418983860495
1.2388231171088377e-11	7977.70983094132
1.2405359687028797e-11	7980.00384544857
1.2422511885612384e-11	7982.301031761665
1.243968779958381e-11	7984.601394266086
1.2456887461733019e-11	7986.9049373533735
