Frequency [GHz]	Zx real [Ohm/m]	Zy real [Ohm/m]
5.404216420705915059e-08	4.800676130499630381e+04	4.149686411840444634e+04
5.581446249454960394e-08	4.916674533610168874e+04	4.240213915244787495e+04
5.764488282925879445e-08	5.036477073253748677e+04	4.333710243854571308e+04
5.953533130814369715e-08	5.160208505068144586e+04	4.430272759496515937e+04
6.148777653810024108e-08	5.287997676018842321e+04	4.530002016952358099e+04
6.350425168595962148e-08	5.417931571241046186e+04	4.631015062071721331e+04
6.558685659571428548e-08	5.543808929932667525e+04	4.727264105128719530e+04
6.773775997517751128e-08	5.673814402857250388e+04	4.826669609750231029e+04
6.995920165435375620e-08	5.808083370414388628e+04	4.929335091247070523e+04
7.225349491787214948e-08	5.946755652767596621e+04	5.035367459686929215e+04
7.462302891391107044e-08	6.089975655445166922e+04	5.144877131224502955e+04
7.707027114212294845e-08	6.237892519715979870e+04	5.257978143082684983e+04
7.959777002314985573e-08	6.389846550525197381e+04	5.374023469614378700e+04
8.220815755240541849e-08	6.534746513982171746e+04	5.482560848666298261e+04
8.490415204088747078e-08	6.684398432895781298e+04	5.594657681967409007e+04
8.768856094587425811e-08	6.838958146371319890e+04	5.710430700865593099e+04
9.056428379445295063e-08	6.998586604215764964e+04	5.830000464881996595e+04
9.353431520292386860e-08	7.163450034541849163e+04	5.953491487254924868e+04
9.660174799522647250e-08	7.333720116868714103e+04	6.081032364600971050e+04
9.976977642363202159e-08	7.509574160899307753e+04	6.212755910828288324e+04
1.030416994950587396e-07	7.676465005467936862e+04	6.335417517603188026e+04
1.064209244064724761e-07	7.847677504511094594e+04	6.461055707509506465e+04
1.099109700929497372e-07	8.024504871561541222e+04	6.590814168172579957e+04
1.135154708920999096e-07	8.207131244710340980e+04	6.724828022767315269e+04
1.172381803286598596e-07	8.395746800807885302e+04	6.863236825796909397e+04
1.210829750232039531e-07	8.590547953503392637e+04	7.006184708417083311e+04
1.250538587290391570e-07	8.791737557779060444e+04	7.153820528526171984e+04
1.291549665014884007e-07	8.984078132474063023e+04	7.292749934075586498e+04
1.333905690039058854e-07	9.178625229303340893e+04	7.432638421312494029e+04
1.377650769549053468e-07	9.379552446018741466e+04	7.577114513986880775e+04
1.422830457214352017e-07	9.587069016941548034e+04	7.726328661389222543e+04
1.469491800624817218e-07	9.801391038176513393e+04	7.880436246754143212e+04
1.517683390283405561e-07	1.002274169264219963e+05	8.039597749067780387e+04
1.567455410205594968e-07	1.025135148248117475e+05	8.203978910181610263e+04
1.618859690178197646e-07	1.047180973326011590e+05	8.360511132030903536e+04
1.671949759731990056e-07	1.069120061309369048e+05	8.515156819958212145e+04
1.726780903884356132e-07	1.091778635801686178e+05	8.674874071763514075e+04
1.783410220710008120e-07	1.115180292170144239e+05	8.839829208024599939e+04
1.841896680799711039e-07	1.139349399585665669e+05	9.010194003758025065e+04
1.902301188668944219e-07	1.164311126399599307e+05	9.186145867295954667e+04
1.964686646180446931e-07	1.190091466352630814e+05	9.367868025029254204e+04
2.029118018046678038e-07	1.215208138254513324e+05	9.543238703276542947e+04
2.095662399480432992e-07	1.239740889604740805e+05	9.712877714014619414e+04
2.164389086064020114e-07	1.265078185958733229e+05	9.888079990632843692e+04
2.235369645909794139e-07	1.291246412154205900e+05	1.006902797894435498e+05
2.308677994187169850e-07	1.318272818312554446e+05	1.025591010802382079e+05
2.384390470093720426e-07	1.346185548215597810e+05	1.044892098642688361e+05
2.462585916350547006e-07	1.375013668612937909e+05	1.064826160484461871e+05
2.543345761304648365e-07	1.403439410813588474e+05	1.084353844848778099e+05
2.626754103723835758e-07	1.430615955224611680e+05	1.102806133942620654e+05
2.712897800372467241e-07	1.458683747124079382e+05	1.121863560910587257e+05
2.801866556459195443e-07	1.487672014734445838e+05	1.141545971087032958e+05
2.893753019050950594e-07	1.517610944809889188e+05	1.161873860628733964e+05
2.988652873550382326e-07	1.548531714071096794e+05	1.182868397858432872e+05
3.086664943337274455e-07	1.580466521670954535e+05	1.204551445308343100e+05
3.187891292677645596e-07	1.612402078341940360e+05	1.226151498589121475e+05
3.292437333007768907e-07	1.642194184282388014e+05	1.246038868100450636e+05
3.400411932703706463e-07	1.672963314350453729e+05	1.266578438563477102e+05
3.511927530450727317e-07	1.704741509790481068e+05	1.287791598733568826e+05
3.627100252330649086e-07	1.737561862630833348e+05	1.309700438804593286e+05
3.746050032748993774e-07	1.771458550144069013e+05	1.332327773412401439e+05
3.868900739327976195e-07	1.806466870437241741e+05	1.355697165392712923e+05
3.995780301895269929e-07	1.842055232419985405e+05	1.379416719104829826e+05
4.126820845702951630e-07	1.874336586477847304e+05	1.400635778679050272e+05
4.262158829015325345e-07	1.907676598888018634e+05	1.422550711623580137e+05
4.401935185208874400e-07	1.942109988067355007e+05	1.445184338919046568e+05
4.546295469532399562e-07	1.977672611013888672e+05	1.468560229954021925e+05
4.695390010680058238e-07	2.014401500646288623e+05	1.492702727068855602e+05
4.849374067335232931e-07	2.052334904367863492e+05	1.517636970904424379e+05
5.008407989848212921e-07	2.091512323895262671e+05	1.543388926582183049e+05
5.172657387216018967e-07	2.126165281092842633e+05	1.565867824828035955e+05
5.342293299538352136e-07	2.161825398461462464e+05	1.588992283545191458e+05
5.517492376129122323e-07	2.198654979819385044e+05	1.612875102686746686e+05
5.698437059469141914e-07	2.236692377424629231e+05	1.637541152479518787e+05
5.885315775191450570e-07	2.275977201287230710e+05	1.663016118762744009e+05
6.078323128297229089e-07	2.316550360416889307e+05	1.689326529735871300e+05
6.277660105806500796e-07	2.358454105423309666e+05	1.716499783583540411e+05
6.483534286054720147e-07	2.395920280996327638e+05	1.740570241412532341e+05
6.696160054853222944e-07	2.433514004249790742e+05	1.764673362533749023e+05
6.915758828738524922e-07	2.472340603579184681e+05	1.789566939050545043e+05
7.142559285543126448e-07	2.512440510824911180e+05	1.815276893735713093e+05
7.376797602527731619e-07	2.553855483778735797e+05	1.841829999492430070e+05
7.618717702322991504e-07	2.596628649668011640e+05	1.869253907234053768e+05
7.868571506936852863e-07	2.640804550065952935e+05	1.897577174678235606e+05
8.126619200091945450e-07	2.680840024508571951e+05	1.923094371990366490e+05
8.393129498166364485e-07	2.719836141125625581e+05	1.947876481748703809e+05
8.668379930019773693e-07	2.760111124933016254e+05	1.973471314152951527e+05
8.952657125996391396e-07	2.801706916037409683e+05	1.999905522224407177e+05
9.246257116405743783e-07	2.844666829960030154e+05	2.027206633063057088e+05
9.549485639791965964e-07	2.889035602743002237e+05	2.055403076512748958e+05
9.862658461312820294e-07	2.934859437534965691e+05	2.084524214766441437e+05
1.018610170155975315e-06	2.977085237567443401e+05	2.111274137069016870e+05
1.052015217616159169e-06	3.016808010225054459e+05	2.136366078567723162e+05
1.086515774652537176e-06	3.057833480563047342e+05	2.162280903561203449e+05
1.122147768207980340e-06	3.100204370202626451e+05	2.189045598293073417e+05
1.158948303439811928e-06	3.143964801809102064e+05	2.216688034013567667e+05
1.196955702359042833e-06	3.189160345038767555e+05	2.245236996003100649e+05
1.236209543736769070e-06	3.235838063992583775e+05	2.274722213547646243e+05
1.276750704319264407e-06	3.279726119437111192e+05	2.302413862624092726e+05
1.318621401394748678e-06	3.319367099883010960e+05	2.327380372417826729e+05
1.361865236756082925e-06	3.360308095655638608e+05	2.353165652207198436e+05
1.406527242105236574e-06	3.402591740409121849e+05	2.379796553334715136e+05
1.452653925946781372e-06	3.446262065956853912e+05	2.407300807725471386e+05
1.500293322019216825e-06	3.491364548123735585e+05	2.435707056765600864e+05
1.549495039314631713e-06	3.537946154102160945e+05	2.465044881127826520e+05
1.600310313738701654e-06	3.582811094452604302e+05	2.493304467552847927e+05
1.652792061464893799e-06	3.621454083477064851e+05	2.517652451656509365e+05
1.706994934038407828e-06	3.661364358967132284e+05	2.542798921371618635e+05
1.762975375287203917e-06	3.702583481242705602e+05	2.568770062819741433e+05
1.820791680099462520e-06	3.745154373583242996e+05	2.595592920889285742e+05
1.880504055128583443e-06	3.789121366925638868e+05	2.623295427398521570e+05
1.942174681489024486e-06	3.834530246027978137e+05	2.651906430182208424e+05
2.005867779508234000e-06	3.879529620169447153e+05	2.680274602677070070e+05
2.071649675602067297e-06	3.916188872913723462e+05	2.703466893269191496e+05
2.139588871343421664e-06	3.954050356024100329e+05	2.727419768813869450e+05
2.209756114795903333e-06	3.993153496323135914e+05	2.752158172490723664e+05
2.282224474186896537e-06	4.033539013625464868e+05	2.777707865484260838e+05
2.357069413996727979e-06	4.075248963141134591e+05	2.804095453810134786e+05
2.434368873543112862e-06	4.118326779269523686e+05	2.831348416021143203e+05
2.514203348142796913e-06	4.162472263196308631e+05	2.859281713986260002e+05
2.596655972934872394e-06	4.196142225811988465e+05	2.880756551005226793e+05
2.681812609453013329e-06	4.230916385825368925e+05	2.902935649547232315e+05
2.769761935036891063e-06	4.266830955094096134e+05	2.925842105680128443e+05
2.860595535175745131e-06	4.303923333033976960e+05	2.949499772901115939e+05
2.954407998880380251e-06	4.342232145564630046e+05	2.973933286976441741e+05
3.051297017182871440e-06	4.381797285332361353e+05	2.999168091595707810e+05
3.151363484866476280e-06	4.422659953252108535e+05	3.025230464867487899e+05
3.254711605531848180e-06	4.453691945455158129e+05	3.045241692176072975e+05
3.361449000108768764e-06	4.484379376068465644e+05	3.065067029580435483e+05
3.471686818926559579e-06	4.516073192742014653e+05	3.085542533610176179e+05
3.585539857459816780e-06	4.548806399636864662e+05	3.106689526305478648e+05
3.703126675869923221e-06	4.582613083276675898e+05	3.128530028957113973e+05
3.824569722466998750e-06	4.617528448043526150e+05	3.151086785038186354e+05
3.949995461220647668e-06	4.653588852837757440e+05	3.174383283887899015e+05
4.079534503452449404e-06	4.681439807903397013e+05	3.192609174564029090e+05
4.213321743847289341e-06	4.707142654584295815e+05	3.209530901869905065e+05
4.351496500925044872e-06	4.733688419231647276e+05	3.227007572686381754e+05
4.494202662119142613e-06	4.761104745114194811e+05	3.245057386237121536e+05
4.641588833612781958e-06	4.789420182054261677e+05	3.263699138584444881e+05
4.793808495089106764e-06	4.818664216157944757e+05	3.282952242202496855e+05
4.951020159556351225e-06	4.848867300520288409e+05	3.302836746192311984e+05
5.113387538414320594e-06	4.872653788985600113e+05	3.318724507621309021e+05
5.281079711934330620e-06	4.892634632713252213e+05	3.332255212532663718e+05
5.454271305329836335e-06	4.913270742854466080e+05	3.346229653284261003e+05
5.633142670601352205e-06	4.934583608695610310e+05	3.360662382074024063e+05
5.817880074344935696e-06	4.956595424258440617e+05	3.375568428335306817e+05
6.008675891719681185e-06	4.979329111411702470e+05	3.390963314387698192e+05
6.205728806776500758e-06	5.002808343740685959e+05	3.406863071601102129e+05
6.409244019356456972e-06	5.021692678266963921e+05	3.419863840755907004e+05
6.619433458774388568e-06	5.035423444569261046e+05	3.429610439211224439e+05
6.836516004510238809e-06	5.049604507671484607e+05	3.439676674750006641e+05
7.060717714137765353e-06	5.064250634936469723e+05	3.450073029784715036e+05
7.292272058728313350e-06	5.079377078018762404e+05	3.460810330495722010e+05
7.531420165974376510e-06	5.094999588746825466e+05	3.471899758105079527e+05
7.778411071286482598e-06	5.111134435526116285e+05	3.483352860520019894e+05
8.033501977124735881e-06	5.124368795021536062e+05	3.492947208314400050e+05
8.296958520834915102e-06	5.131564185882000602e+05	3.498639134431499406e+05
8.569055051268345481e-06	5.138995547656785930e+05	3.504517725739711896e+05
8.850074914473438512e-06	5.146670618948769406e+05	3.510589103873938438e+05
9.140310748756224233e-06	5.154597392146230559e+05	3.516859591226455523e+05
9.440064789417603028e-06	5.162784121745685698e+05	3.523335717530699330e+05
9.749649183484097127e-06	5.171239332947647781e+05	3.530024226660964196e+05
1.006938631476026946e-05	5.178209534397111274e+05	3.535750347268680925e+05
1.039960913954120295e-05	5.178841305444550235e+05	3.537260634702490061e+05
1.074066153333432437e-05	5.179493795254123979e+05	3.538820451607812429e+05
1.109289864895222712e-05	5.180167683292082511e+05	3.540431422290386981e+05
1.145668728634872662e-05	5.180863671307589975e+05	3.542095224324625451e+05
1.183240627458378028e-05	5.181582484063485172e+05	3.543813590300543001e+05
1.222044686631488820e-05	5.182324870091008488e+05	3.545588309627979761e+05
1.262121314522546164e-05	5.182589641316624475e+05	3.547070934869848425e+05
1.303512244681508904e-05	5.176880498542432906e+05	3.544427203903095797e+05
1.346260579298911035e-05	5.170984125961473910e+05	3.541696772488023271e+05
1.390410834090069648e-05	5.164894383422429673e+05	3.538876797306669760e+05
1.436008984651260800e-05	5.158604929409360630e+05	3.535964341795226210e+05
1.483102514336102853e-05	5.152109214438017807e+05	3.532956373086058884e+05
1.531740463702079875e-05	5.145400474235566217e+05	3.529849758849453647e+05
1.581973481578601704e-05	5.138471722696662764e+05	3.526641264031783212e+05
