Frequency [GHz]	Zx imag [Ohm/m]	Zy imag [Ohm/m]
3.369205705980266915e-09	1.180767139746497385e+07	2.885307302117088810e+07
3.479697903887691433e-09	1.180656516087239236e+07	2.885138518099776283e+07
3.593813663804627762e-09	1.180542264554731734e+07	2.884964198855863884e+07
3.711671819475765297e-09	1.180424266173844226e+07	2.884784162859078869e+07
3.833395101766601886e-09	1.180302398067688756e+07	2.884598222630043700e+07
3.959110266468459240e-09	1.180176533329662308e+07	2.884406184541044757e+07
4.088948226294862618e-09	1.180046540891294554e+07	2.884207848614398763e+07
4.223044187206674123e-09	1.179912285385758802e+07	2.884003008314208314e+07
4.361537789208003199e-09	1.179773627006910183e+07	2.883791450331286713e+07
4.504573251759458750e-09	1.179630421363699064e+07	2.883572954361029714e+07
4.652299523960189308e-09	1.179482519329809584e+07	2.883347292874003202e+07
4.804870439655131104e-09	1.179329766888368316e+07	2.883114230879005417e+07
4.962444877628916452e-09	1.179172004971560277e+07	2.882873525678360835e+07
5.125186927053329472e-09	1.179009069294983335e+07	2.882624926615189388e+07
5.293266058360561204e-09	1.178840790186573006e+07	2.882368174812386557e+07
5.466857299720180771e-09	1.178666992409914732e+07	2.882103002903040498e+07
5.646141419303669251e-09	1.178487494981763139e+07	2.881829134752015397e+07
5.831305113526221869e-09	1.178302110983574763e+07	2.881546285168396309e+07
6.022541201461928965e-09	1.178110647366864048e+07	2.881254159608508646e+07
6.220048825634711276e-09	1.177912904752171040e+07	2.880952453869197890e+07
6.424033659394191079e-09	1.177708677221440151e+07	2.880640853771048412e+07
6.634708121092347870e-09	1.177497752103588358e+07	2.880319034831213951e+07
6.852291595284060743e-09	1.177279909753041901e+07	2.879986661925521120e+07
7.077010661181889919e-09	1.177054923321008310e+07	2.879643388939489052e+07
7.309099328602911004e-09	1.176822558519251086e+07	2.879288858407904953e+07
7.548799281653435948e-09	1.176582573376112618e+07	2.878922701142580807e+07
7.796360130405233414e-09	1.176334717984540574e+07	2.878544535847899690e+07
8.052039670825474778e-09	1.176078734241847321e+07	2.878153968723758683e+07
8.316104153230961616e-09	1.175814355580936559e+07	2.877750593055485189e+07
8.588828559546249041e-09	1.175541306692716293e+07	2.877333988790308312e+07
8.870496889654407999e-09	1.175259303239406087e+07	2.876903722099937871e+07
9.161402457138517586e-09	1.174968051558444276e+07	2.876459344928803667e+07
9.461848194721997291e-09	1.174667248356684484e+07	2.876000394527471438e+07
9.772146969725725887e-09	1.174356580394562706e+07	2.875526392970762774e+07
1.009262190987047331e-08	1.174045356272536516e+07	2.875041056356833130e+07
1.042360673976401127e-08	1.173748398043396510e+07	2.874550498877265677e+07
1.076544612842315905e-08	1.173441701148740388e+07	2.874043853696664423e+07
1.111849604819270880e-08	1.173124946211643890e+07	2.873520593223187700e+07
1.148312414543511117e-08	1.172797803381301276e+07	2.872980172562759370e+07
1.185971012337669343e-08	1.172459931989538297e+07	2.872422028951648623e+07
1.224864613750930795e-08	1.172110980196059495e+07	2.871845581170439348e+07
1.265033720395903769e-08	1.171752618157206103e+07	2.871251411667695642e+07
1.306520162124721228e-08	1.171394214877358824e+07	2.870644567881164327e+07
1.349367140588306343e-08	1.171024057858030125e+07	2.870017822815337032e+07
1.393619274224142065e-08	1.170641761638484709e+07	2.869370523813094571e+07
1.439322644719406651e-08	1.170246928116905503e+07	2.868701996813601628e+07
1.486524844997857277e-08	1.169839146135833673e+07	2.868011545650380477e+07
1.535275028780422776e-08	1.169417991054011136e+07	2.867298451326357573e+07
1.585623961771137302e-08	1.168983279537293315e+07	2.866562135954707861e+07
1.637624074521687477e-08	1.168552209996490926e+07	2.865813222174521536e+07
