#Parameters = {C_1=25.815589753809; C_2=96.34509258857; Conductivity_MoGr=1000000; Ip=99.743779456351; Pipe_lenght=40; Pipe_r=30; beta=1; cells_wave=20; d=-346.34509258857; half_gap_x=4.1844102461909; half_gap_y=30; half_gap_z=125; offset=1.6737640984764; offset_x=1; offset_y=5; sigma_z=5; teta=15; thcoll=25.815589753809; translate_z=-221.34509258857; wakelength=20000}
#"s / mm"	"Z [Real Part / V/pC]"
#-------------------------------
9.8109801310477	1.5461414144944
10.057719968150	1.5025391867331
10.304459805253	1.4534736487404
10.551199642356	1.3994806854041
10.797939479459	1.3411279811078
11.044679316561	1.2790092921998
11.291419153664	1.2137357513124
11.538158990767	1.1459289480891
11.784898827869	1.0762128811970
12.031638664972	1.0052079491640
12.278378502075	0.93352357835506
12.525118339177	0.86175107079281
12.771858176280	0.79045729679621
13.018598013383	0.72017928511417
13.265337850486	0.65141899703852
13.512077687588	0.58463838948659
13.758817524691	0.52025509751792
14.005557361794	0.45863931863617
14.252297198896	0.40011180568054
14.499037035999	0.34494235700993
14.745776873102	0.29334880435600
14.992516710204	0.24549674724884
15.239256547307	0.20150024452281
15.485996384410	0.16142369152579
15.732736221513	0.12528414494528
15.979476058615	0.093053882647414
16.226215895718	0.064663362745631
16.472955732821	0.040004890067456
16.719695569923	0.018936954218235
16.966435407026	0.0012887242010270
17.213175244129	-0.013135448429506
17.459915081232	-0.024551613643978
17.706654918334	-0.033191645103975
17.953394755437	-0.039298685042734
18.200134592540	-0.043122920967489
18.446874429642	-0.044917701918327
18.693614266745	-0.044935702883567
18.940354103848	-0.043425029568286
19.187093940950	-0.040625630723301
19.433833778053	-0.036766835348452
19.680573615156	-0.032065871318436
19.927313452259	-0.026726712008593
20.174053289361	-0.020938431977726
20.420793126464	-0.014873332130458
20.667532963567	-0.0086856476982020
20.914272800669	-0.0025115723587437
21.161012637772	0.0035296592737906
21.407752474875	0.0093347005787823
21.654492311978	0.014815694961729
21.901232149080	0.019900278628212
22.147971986183	0.024531150265501
22.394711823286	0.028664800307655
22.641451660388	0.032269585977021
22.888191497491	0.035324017486598
23.134931334594	0.037815651117940
23.381671171696	0.039740476392821
23.628411008799	0.041102270120121
23.875150845902	0.041911522616221
24.121890683005	0.042184014142747
24.368630520107	0.041939477406081
24.615370357210	0.041200758588876
24.862110194313	0.039993576966408
25.108850031415	0.038346342096371
25.355589868518	0.036289835330790
25.602329705621	0.033856417866399
25.849069542724	0.031079270902195
26.095809379826	0.027992019069933
26.342549216929	0.024628895878793
26.589289054032	0.021024940561517
26.836028891134	0.017215992324051
27.082768728237	0.013238203041666
27.329508565340	0.0091274957504832
27.576248402442	0.0049192769536488
27.822988239545	0.00064846921813232
28.069728076648	-0.0036502735831113
28.316467913751	-0.0079425406727158
28.563207750853	-0.012194490661109
28.809947587956	-0.016373405511295
29.056687425059	-0.020448211159133
29.303427262161	-0.024389654559741
29.550167099264	-0.028170141709861
29.796906936367	-0.031763533794831
30.043646773469	-0.035145306784252
30.290386610572	-0.038293218298318
30.537126447675	-0.041187939573461
30.783866284778	-0.043813336675296
31.030606121880	-0.046155991438312
31.277345958983	-0.048204746025922
31.524085796086	-0.049950703332887
31.770825633188	-0.051387686938323
32.017565470291	-0.052512772843101
32.264305307394	-0.053326226274609
32.511045144497	-0.053831019128778
32.757784981599	-0.054032329505577
33.004524818702	-0.053937436514357
33.251264655805	-0.053555836241969
33.498004492907	-0.052899290566078
33.744744330010	-0.051981592827352
33.991484167113	-0.050818263819135
34.238224004215	-0.049426317930269
34.484963841318	-0.047823963849376
34.731703678421	-0.046030313609326
34.978443515524	-0.044065063812574
35.225183352626	-0.041948514411409
35.471923189729	-0.039701697311645
35.718663026832	-0.037346287099255
35.965402863934	-0.034904087238654
36.212142701037	-0.032396352581057
36.458882538140	-0.029843625286705
36.705622375243	-0.027266048868995
36.952362212345	-0.024683740880162
37.199102049448	-0.022116558831939
37.445841886551	-0.019583386890484
37.692581723653	-0.017101603142341
37.939321560756	-0.014687258983418
38.186061397859	-0.012355591951869
38.432801234961	-0.010121273821303
38.679541072064	-0.0079980952083074
38.926280909167	-0.0059983746762536
39.173020746270	-0.0041327152356307
39.419760583372	-0.0024102027128848
39.666500420475	-0.00083873924808976
39.913240257578	0.00057486184045405
40.159980094680	0.0018249881610459
40.406719931783	0.0029073883536304
40.653459768886	0.0038192396143203
40.900199605988	0.0045591922563977
41.146939443091	0.0051273366909282
41.393679280194	0.0055250744059611
41.640419117297	0.0057549595560215
41.887158954399	0.0058206684776615
42.133898791502	0.0057272173648954
42.380638628605	0.0054811341428399
42.627378465707	0.0050903153995437
42.874118302810	0.0045636200162864
43.120858139913	0.0039106231019789
43.367597977016	0.0031418741775810
43.614337814118	0.0022692889234235
