#Parameters = {C_1=25.412767459909; C_2=94.841739321315; Conductivity=10000000; Conductivity_Mo=17900000; Conductivity_MoGr=1000000; Ip=98.18739362802; Pipe_lenght=40; Pipe_r=30; beta=1; cells_wave=20; conductivity_copper=59500000; d=-394.84173932132; half_gap_x=4.5872325400905; half_gap_y=30; half_gap_z=150; mu_copper=0.999994; offset=1.8348930160362; offset_x=1; offset_y=5; sigma_z=5; teta=15; thcoll=25.412767459909; translate_z=-244.84173932132; wakelength=20000}
#"s / mm"	"X [Real Part / V/pC]"
#-------------------------------
22.266048570956	0.068730091279279
22.493358549078	0.066448406177170
22.720668527199	0.064260482441516
22.947978505321	0.062166998885278
23.175288483443	0.060168248664844
23.402598461564	0.058264439071326
23.629908439686	0.056455875093858
23.857218417807	0.054742735924720
24.084528395929	0.053124682832339
24.311838374051	0.051600774178065
24.539148352172	0.050169793784637
24.766458330294	0.048830596704808
24.993768308416	0.047582075494267
25.221078286537	0.046422825930116
25.448388264659	0.045350929092102
25.675698242780	0.044364071092532
25.903008220902	0.043459793523668
26.130318199024	0.042635565219528
26.357628177145	0.041888668107335
26.584938155267	0.041216142090706
26.812248133389	0.040614904015036
27.039558111510	0.040081862160768
27.266868089632	0.039613839515518
27.494178067753	0.039207410148935
27.721488045875	0.038858917411894
27.948798023997	0.038564722405987
28.176108002118	0.038321403026953
28.403417980240	0.038125657792474
28.630727958362	0.037974049039999
28.858037936483	0.037862945558866
29.085347914605	0.037788784588305
29.312657892726	0.037748360805766
29.539967870848	0.037738800186040
29.767277848970	0.037757264719315
29.994587827091	0.037800766289736
30.221897805213	0.037866324399877
30.449207783335	0.037951275303410
30.676517761456	0.038053371186558
30.903827739578	0.038170592857425
31.131137717699	0.038300949409822
31.358447695821	0.038442514870795
31.585757673943	0.038593618545370
31.813067652064	0.038752920721185
32.040377630186	0.038919294224131
32.267687608308	0.039091699960678
32.494997586429	0.039269228443002
32.722307564551	0.039451222881546
32.949617542672	0.039637276828057
33.176927520794	0.039827087820810
33.404237498916	0.040020370294784
33.631547477037	0.040216958015754
33.858857455159	0.040416951111462
34.086167433281	0.040620670162428
34.313477411402	0.040828427588636
34.540787389524	0.041040391537996
34.768097367645	0.041256725210644
34.995407345767	0.041477832354655
35.222717323889	0.041704381587429
35.450027302010	0.041937043443442
35.677337280132	0.042176234843319
35.904647258254	0.042422160682195
36.131957236375	0.042675074998328
36.359267214497	0.042935423002075
36.586577192618	0.043203695501951
36.813887170740	0.043480197988457
37.041197148862	0.043765024035530
37.268507126983	0.044058228979698
37.495817105105	0.044359929743899
37.723127083227	0.044670169215618
37.950437061348	0.044988718823913
38.177747039470	0.045315094840137
38.405057017591	0.045648790078046
38.632366995713	0.045989436774990
38.859676973835	0.046336694605964
39.086986951956	0.046690000180549
39.314296930078	0.047048476428406
39.541606908200	0.047411085992357
39.768916886321	0.047776811846175
39.996226864443	0.048144645919486
40.223536842564	0.048513441635389
40.450846820686	0.048881854799379
40.678156798808	0.049248454688474
40.905466776929	0.049611843399913
41.132776755051	0.049970617321722
41.360086733172	0.050323231199028
41.587396711294	0.050667958380535
41.814706689416	0.051003004726931
42.042016667537	0.051326618849765
42.269326645659	0.051637056323195
42.496636623781	0.051932471490392
42.723946601902	0.052210917172096
42.951256580024	0.052470472100197
43.178566558145	0.052709315337441
43.405876536267	0.052925626207705
43.633186514389	0.053117435907656
43.860496492510	0.053282651501020
44.087806470632	0.053419256884611
44.315116448754	0.053525447479208
44.542426426875	0.053599520704099
44.769736404997	0.053639657547397
44.997046383118	0.053643890122279
