time	wake_x_dipolar
1.0307186430827022e-11	1354.9787966414551
1.0309560045207778e-11	1355.0438831838705
1.0311934206201796e-11	1355.10898471489
1.0314308913935037e-11	1355.1741012379684
1.0316684168533327e-11	1355.2392327565553
1.0319059970122684e-11	1355.3043792741066
1.032143631882903e-11	1355.369540794075
1.032381321477836e-11	1355.4347173199153
1.0326190658096699e-11	1355.4999088550835
1.0328568648910056e-11	1355.5651154030347
1.0330947187344594e-11	1355.6303369672285
1.0333326273526342e-11	1355.6955735511206
1.0335705907581523e-11	1355.7608251581723
1.0338086089636262e-11	1355.826091791842
1.0340466819816756e-11	1355.89137345559
1.0342848098249234e-11	1355.9566701528775
1.0345229925059906e-11	1356.0219818871656
1.0347612300375144e-11	1356.0873086619195
1.0349995224321175e-11	1356.1526504806002
1.0352378697024428e-11	1356.2180073466748
1.035476271861123e-11	1356.283379263607
1.0357147289207984e-11	1356.3487662348632
1.035953240894112e-11	1356.41416826391
1.0361918077937055e-11	1356.479585354214
1.036430429632236e-11	1356.5450175092456
1.0366691064223469e-11	1356.610464732472
1.0369078381767013e-11	1356.6759270273656
1.0371466249079528e-11	1356.7414043973956
1.0373854666287614e-11	1356.806896846034
1.0376243633517908e-11	1356.8724043767534
1.0378633150897029e-11	1356.9379269930255
1.0381023218551756e-11	1357.0034646983268
1.0383413836608726e-11	1357.0690174961294
1.0385805005194773e-11	1357.1345853899118
1.0388196724436633e-11	1357.2001683831488
1.039058899446112e-11	1357.265766479318
1.0392981815395067e-11	1357.331379681897
1.0395375187365301e-11	1357.3970079943638
1.0397769110498803e-11	1357.4626514202005
1.0400163584922417e-11	1357.5283099628846
1.040255861076318e-11	1357.5939836259
1.0404954188148035e-11	1357.6596724127276
1.0407350317203993e-11	1357.72537632685
1.0409746998058102e-11	1357.791095371751
1.0412144230837387e-11	1357.8568295509135
1.0414542015669038e-11	1357.9223555524675
1.0416940352680097e-11	1357.9876954646766
1.041933924199781e-11	1358.0530504238404
1.0421738683749328e-11	1358.1184204334231
1.0424138678061862e-11	1358.1838054968903
1.0426539225062667e-11	1358.2492056177089
1.0428940324878973e-11	1358.3146207993448
1.0431341977638173e-11	1358.380051045269
1.0433744183467515e-11	1358.4454963589485
1.0436146942494454e-11	1358.5109567438553
1.043855025484634e-11	1358.5764322034588
1.0440954120650596e-11	1358.641922741231
1.0443358540034674e-11	1358.7074283606437
1.0445763513126016e-11	1358.772949065169
1.0448169040052217e-11	1358.8384848582832
1.0450575120940736e-11	1358.9040357434585
1.0452981755919224e-11	1358.9696017241731
1.0455388945115243e-11	1359.0351828039018
1.045779668865642e-11	1359.100778986122
1.0460204986670413e-11	1359.1663902743114
1.0462613839284869e-11	1359.2320166719476
1.046502324662759e-11	1359.2976581825126
1.0467433208826237e-11	1359.363314809484
1.0469843726008672e-11	1359.4289865563455
1.0472254798302659e-11	1359.4946734265782
1.0474666425836033e-11	1359.560375423664
1.0477078608736657e-11	1359.6260925510871
1.0479491347132384e-11	1359.6918248123304
1.0481904641151222e-11	1359.7575722108816
1.0484318490921039e-11	1359.823334750224
1.0486732896569902e-11	1359.8891124338468
1.0489147858225781e-11	1359.9549052652362
1.0491563376016719e-11	1360.0207132478808
1.0493979450070783e-11	1360.0865363852695
1.0496396080516033e-11	1360.1523746808912
1.0498813267480684e-11	1360.2182281382393
1.0501231011092811e-11	1360.2840967608022
1.0503649311480686e-11	1360.3499805520753
1.0506068168772487e-11	1360.4158795155506
1.050848758309646e-11	1360.4817936547215
1.0510907554580883e-11	1360.5477229730832
1.051332808335402e-11	1360.6136674741301
1.0515749169544295e-11	1360.6796271613612
1.0518170813279986e-11	1360.7456020382706
1.0520593014689575e-11	1360.8115793221552
1.0523015773901446e-11	1360.8764607080047
1.0525439091044051e-11	1360.9413570352147
1.0527862966245878e-11	1361.0062683072263
1.0530287399635394e-11	1361.0711945274797
1.0532712391341232e-11	1361.13613569942
1.0535137941491875e-11	1361.2010918264875
1.0537564050216016e-11	1361.2660629121292
1.0539990717642243e-11	1361.3310489597882
1.0542417943899218e-11	1361.3960499729103
1.0544845729115632e-11	1361.4610659549417
1.0547274073420163e-11	1361.5260969093283
1.0549702976941649e-11	1361.5911428395207
1.0552132439808784e-11	1361.656203748965
1.0554562462150465e-11	1361.7212796411134
1.0556993044095487e-11	1361.7863705194145
1.0559424185772722e-11	1361.8514763873202
1.0561855887311066e-11	1361.9165972482817
1.056428814883941e-11	1361.9817331057511
1.0566720970486793e-11	1362.046883963184
1.056915435238212e-11	1362.112049824032
1.0571588294654497e-11	1362.177230691753
1.0574022797432925e-11	1362.2424265698019
1.0576457860846483e-11	1362.3076374616346
1.0578893485024278e-11	1362.3728633707094
1.0581329670095405e-11	1362.438104300483
1.0583766416189115e-11	1362.503360254417
1.058620372343452e-11	1362.5686312359685
1.058864159196093e-11	1362.6339172486012
1.059108002189756e-11	1362.699218295775
1.0593519013373694e-11	1362.764534380952
1.0595958566518649e-11	1362.8298655075957
1.0598398681461726e-11	1362.8952116791684
1.0600839358332387e-11	1362.9605728991373
1.060328059725995e-11	1363.0259491709655
1.0605722398373935e-11	1363.0913404981216
1.0608164761803764e-11	1363.1567468840713
1.0610607687678933e-11	1363.2221683322828
1.0613051176128963e-11	1363.2876048462242
1.0615495227283367e-11	1363.3530564293644
1.0617939841271813e-11	1363.4185230851756
1.062038501822383e-11	1363.4840048171268
1.0622830758269147e-11	1363.5495016286916
1.0625277061537394e-11	1363.6150135233422
1.0627723928158276e-11	1363.6805405045513
1.0630171358261523e-11	1363.746082575794
1.0632619351976855e-11	1363.8116397405436
1.0635067909434153e-11	1363.8772120022784
1.0637517030763152e-11	1363.9427993644726
1.0639966716093791e-11	1364.008401830606
1.064241696555591e-11	1364.0740194041562
1.064486777927942e-11	1364.1396520886015
1.0647319157394263e-11	1364.2052998874221
1.064977110003037e-11	1364.2709628040975
1.0652223607317829e-11	1364.3366408421111
1.0654676679386583e-11	1364.4023340049437
1.0657130316366784e-11	1364.46804229608
1.065958451838848e-11	1364.5337657190028
1.066203928558179e-11	1364.5995042771965
1.066449461807687e-11	1364.6652579741472
1.0666950516003854e-11	1364.7310268133394
1.0669406979493044e-11	1364.7968107982629
1.0671864008674593e-11	1364.862609932403
1.0674321603678862e-11	1364.9284242192507
1.0676779764636107e-11	1364.9942536622948
1.0679238491676662e-11	1365.0600982650246
1.0681697784930887e-11	1365.125958030932
1.068415764452913e-11	1365.1918329635077
1.0686618070601901e-11	1365.2577230662462
1.0689079063279565e-11	1365.323628342639
1.069154062269269e-11	1365.3895487961831
1.0694002748971746e-11	1365.4554844303714
1.0696465442247273e-11	1365.521435248701
1.0698928702649845e-11	1365.5874012546678
1.070139253031002e-11	1365.6533824517685
1.0703856925358517e-11	1365.7193788435038
1.070632188792591e-11	1365.7853904333701
1.0708787418142981e-11	1365.8514172248701
1.0711253516140408e-11	1365.9174592215031
1.0713720182048943e-11	1365.983516426771
1.071618741599937e-11	1366.0495888441758
1.0718655218122456e-11	1366.1152246160664
1.0721123588549134e-11	1366.1801268746367
1.0723592527410188e-11	1366.2450440793737
1.0726062034836608e-11	1366.309976233721
1.0728532110959286e-11	1366.3749233411204
1.0731002755909183e-11	1366.4398854050153
1.0733473969817296e-11	1366.5048624288504
1.07359457528146e-11	1366.5698544160687
1.0738418105032243e-11	1366.6348613701193
1.0740891026601216e-11	1366.6998832944462
1.0743364517652724e-11	1366.7649201924992
1.0745838578317868e-11	1366.8299720677255
1.074831320872782e-11	1366.895038923574
1.0750788409013788e-11	1366.9601207634946
1.0753264179306963e-11	1367.0252175909368
1.0755740519738696e-11	1367.0903294093544
1.0758217430440198e-11	1367.1554562221972
1.076069491154288e-11	1367.2205980329206
1.0763172963178055e-11	1367.2857548449774
1.076565158547711e-11	1367.350926661822
1.0768130778571462e-11	1367.4161134869098
1.0770610542592513e-11	1367.481315323696
1.0773090877671829e-11	1367.5465321756399
1.0775571783940828e-11	1367.611764046197
1.0778053261531136e-11	1367.677010938828
1.0780535310574279e-11	1367.7422728569913
1.0783017931201855e-11	1367.8075498041476
1.078550112354549e-11	1367.872841783757
1.0787984887736801e-11	1367.9381487992803
1.0790469223907565e-11	1368.0034708541828
1.0792954132189414e-11	1368.0688079519255
1.0795439612714185e-11	1368.1341600959745
1.0797925665613615e-11	1368.1995272897939
1.0800412291019515e-11	1368.2649095368495
1.0802899489063725e-11	1368.3303068406078
1.0805387259878072e-11	1368.395719204535
1.0807875603594548e-11	1368.4611466321016
1.0810364520344995e-11	1368.5265891267745
1.0812854010261464e-11	1368.5920466920252
1.0815344073475903e-11	1368.6575193313236
1.0817834710120337e-11	1368.7230070481407
1.0820325920326818e-11	1368.7885098459492
1.0822817704227388e-11	1368.8540277282202
1.0825310061954248e-11	1368.9195606984304
1.0827802993639454e-11	1368.9851087600516
1.0830296499415272e-11	1369.050671916562
1.0832790579413862e-11	1369.1162501714357
1.0835285233767461e-11	1369.1818435281507
1.0837780462608336e-11	1369.2474519901841
1.0840276266068739e-11	1369.3130755610134
1.0842772644281084e-11	1369.3787142441206
1.0845269597377645e-11	1369.4443680429831
1.0847767125490897e-11	1369.5100369610846
1.0850265228753215e-11	1369.5757210019055
1.0852763907297046e-11	1369.641420168928
1.0855263161254874e-11	1369.7071344656365
1.0857762990759163e-11	1369.772863895513
1.0860263395942544e-11	1369.8386084620452
1.0862764376937498e-11	1369.9043681687167
1.0865265933876718e-11	1369.970143019016
1.0867768066892792e-11	1370.0359330164297
1.0870270776118381e-11	1370.1017381644456
1.087277406168618e-11	1370.1675494013957
1.087527792372887e-11	1370.2329512468862
1.0877782362379294e-11	1370.2983681535939
1.0880287377770148e-11	1370.3638001249844
1.0882792970034337e-11	1370.42924716453
1.0885299139304664e-11	1370.4947092756993
1.0887805885714005e-11	1370.5601864619628
1.0890313209395268e-11	1370.6256787267923
1.0892821110481348e-11	1370.691186073659
1.0895329589105304e-11	1370.7567085060386
1.0897838645400043e-11	1370.8222460274026
1.0900348279498687e-11	1370.887798641228
1.0902858491534252e-11	1370.9533663509899
