Frequency [GHz]	Zx imag [Ohm/m]	Zy imag [Ohm/m]
1.222044686631488820e-05	8.630454055422639474e+06	2.150702741869385540e+07
1.262121314522546164e-05	8.598723968182027340e+06	2.143015694136910513e+07
1.303512244681508904e-05	8.569439806747786701e+06	2.135811195372919366e+07
1.346260579298911035e-05	8.539195279089838266e+06	2.128370427003352344e+07
1.390410834090069648e-05	8.507958890255333856e+06	2.120685640629835427e+07
1.436008984651260800e-05	8.475698112422883511e+06	2.112748833747343719e+07
1.483102514336102853e-05	8.442379351029923186e+06	2.104551741410848871e+07
1.531740463702079875e-05	8.407967909789208323e+06	2.096085827628663555e+07
1.581973481578601704e-05	8.372427954558057711e+06	2.087342276473541930e+07
1.633853877809860416e-05	8.339964885942249559e+06	2.079251688500488177e+07
1.687435677727375848e-05	8.306698487183265388e+06	2.070953647769500315e+07
1.742774678408917511e-05	8.272341125795071013e+06	2.062383475017287210e+07
1.799928506782476860e-05	8.236857023950707167e+06	2.053532245747165754e+07
1.858956679635688644e-05	8.200209230498973280e+06	2.044390742785977572e+07
1.919920665593282809e-05	8.162359582485570572e+06	2.034949446685841680e+07
1.982883949127071257e-05	8.123268665412339382e+06	2.025198525811133906e+07
2.047912096665083489e-05	8.087169924930326641e+06	2.016115921770174801e+07
2.115072824868794552e-05	8.050925176339174621e+06	2.006975383391258866e+07
2.184436071149428344e-05	8.013491790934506804e+06	1.997535083506611735e+07
2.256074066496859061e-05	7.974830787690676749e+06	1.987785191518013179e+07
2.330061410696924993e-05	7.934901907209744677e+06	1.977715554435409233e+07
2.406475150015422205e-05	7.893663569797619246e+06	1.967315686304161325e+07
