Frequency [GHz]	Zx real [Ohm/m]	Zy real [Ohm/m]
6.483534286054720147e-07	2.985683516371437581e+05	7.135010147851196816e+05
6.696160054853222944e-07	3.045941293759047403e+05	7.296615214279026259e+05
6.915758828738524922e-07	3.108175208802113775e+05	7.463520075537095545e+05
7.142559285543126448e-07	3.172450068405283964e+05	7.635898536976091564e+05
7.376797602527731619e-07	3.238832804798268480e+05	7.813930103846581187e+05
7.618717702322991504e-07	3.307392545235307771e+05	7.997800168225698872e+05
7.868571506936852863e-07	3.378200683980414178e+05	8.187700202074056724e+05
8.126619200091945450e-07	3.445724183435403393e+05	8.371364950959931593e+05
8.393129498166364485e-07	3.513102375766682089e+05	8.555807631872027414e+05
8.668379930019773693e-07	3.582690217852647766e+05	8.746299061059046071e+05
8.952657125996391396e-07	3.654560174564641784e+05	8.943037605599111412e+05
9.246257116405743783e-07	3.728787087240034598e+05	9.146228137965501519e+05
9.549485639791965964e-07	3.805448251617786009e+05	9.356082249369306955e+05
9.862658461312820294e-07	3.884623498329900322e+05	9.572818470098690595e+05
1.018610170155975315e-06	3.961033824201782700e+05	9.784314039725919720e+05
1.052015217616159169e-06	4.035863539311051718e+05	9.993333628604871919e+05
1.086515774652537176e-06	4.113147274866895168e+05	1.020920795886690496e+06
1.122147768207980340e-06	4.192965509811993106e+05	1.043216182991808048e+06
1.158948303439811928e-06	4.275401362374359160e+05	1.066242741340067005e+06
1.196955702359042833e-06	4.360540676622012979e+05	1.090024449496371672e+06
1.236209543736769070e-06	4.448472111856187694e+05	1.114586072396238800e+06
1.276750704319264407e-06	4.534477569963987335e+05	1.138804578982155304e+06
1.318621401394748678e-06	4.616973295682520838e+05	1.162305580133486306e+06
1.361865236756082925e-06	4.702174446610452142e+05	1.186577290317401756e+06
1.406527242105236574e-06	4.790169746442246251e+05	1.211644984730011784e+06
1.452653925946781372e-06	4.881050828542158124e+05	1.237534767460711300e+06
1.500293322019216825e-06	4.974912331366033177e+05	1.264273598675502231e+06
1.549495039314631713e-06	5.071851997012534994e+05	1.291889322691810085e+06
1.600310313738701654e-06	5.168099225662726094e+05	1.319451736231226940e+06
1.652792061464893799e-06	5.258322156206545187e+05	1.345644043366798665e+06
1.706994934038407828e-06	5.351503923570495099e+05	1.372695320193222025e+06
1.762975375287203917e-06	5.447741562014875235e+05	1.400633736391231418e+06
1.820791680099462520e-06	5.547135288012558594e+05	1.429488385458696401e+06
1.880504055128583443e-06	5.649788604608760215e+05	1.459289315006944351e+06
1.942174681489024486e-06	5.755808409203318879e+05	1.490067558050660882e+06
2.005867779508234000e-06	5.862843422882410232e+05	1.521222848928353749e+06
2.071649675602067297e-06	5.960662109264412429e+05	1.550130892085386440e+06
2.139588871343421664e-06	6.061688733242980670e+05	1.579986966768057784e+06
2.209756114795903333e-06	6.166028498271604767e+05	1.610822163416099036e+06
2.282224474186896537e-06	6.273790057922821725e+05	1.642668592071879422e+06
2.357069413996727979e-06	6.385085629033974838e+05	1.675559415818003938e+06
2.434368873543112862e-06	6.500031108563486487e+05	1.709528885311476188e+06
2.514203348142796913e-06	6.618252806073494721e+05	1.744481041888078209e+06
2.596655972934872394e-06	6.723302817403746303e+05	1.776041326743065147e+06
2.681812609453013329e-06	6.831797915693650721e+05	1.808636622679155087e+06
2.769761935036891063e-06	6.943851081646500388e+05	1.842300872607290046e+06
2.860595535175745131e-06	7.059579001137441956e+05	1.877069132587071043e+06
2.954407998880380251e-06	7.179102186723621562e+05	1.912977608332174830e+06
3.051297017182871440e-06	7.302545103139204439e+05	1.950063692912960192e+06
3.151363484866476280e-06	7.430036296905922936e+05	1.988366005695492961e+06
3.254711605531848180e-06	7.543796243850660976e+05	2.022989766232717782e+06
3.361449000108768764e-06	7.659102556505065877e+05	2.058147232745281653e+06
3.471686818926559579e-06	7.778190308771526907e+05	2.094457678947072476e+06
3.585539857459816780e-06	7.901183511948405067e+05	2.131958916497910861e+06
3.703126675869923221e-06	8.028210244251313852e+05	2.170689997080855537e+06
3.824569722466998750e-06	8.159402784186645877e+05	2.210691253068451770e+06
3.949995461220647668e-06	8.294897748298924416e+05	2.252004339522582479e+06
4.079534503452449404e-06	8.417626421722645173e+05	2.289774723293019459e+06
4.213321743847289341e-06	8.538770159533892293e+05	2.327187347305271775e+06
4.351496500925044872e-06	8.663886773750310531e+05	2.365826908292387612e+06
4.494202662119142613e-06	8.793106553788571618e+05	2.405733643323545810e+06
4.641588833612781958e-06	8.926564061871812446e+05	2.446949109031810425e+06
4.793808495089106764e-06	9.064398273155206116e+05	2.489516224888889585e+06
4.951020159556351225e-06	9.206752720446909079e+05	2.533479317899067886e+06
5.113387538414320594e-06	9.337926637693274533e+05	2.574236869470071048e+06
5.281079711934330620e-06	9.463590287498324178e+05	2.613453922379847616e+06
5.454271305329836335e-06	9.593375043010688387e+05	2.653957088026451413e+06
5.633142670601352205e-06	9.727416054787238827e+05	2.695788544132302050e+06
5.817880074344935696e-06	9.865852905611153692e+05	2.738991851626926102e+06
6.008675891719681185e-06	1.000882975584553438e+06	2.783612000008845702e+06
6.205728806776500758e-06	1.015649549355397699e+06	2.829695454195136670e+06
6.409244019356456972e-06	1.029525144232526538e+06	2.873148268261649180e+06
6.619433458774388568e-06	1.042375958087803214e+06	2.913569190936597995e+06
6.836516004510238809e-06	1.055648210938405013e+06	2.955315706934591290e+06
7.060717714137765353e-06	1.069355723763201619e+06	2.998431288733285386e+06
7.292272058728313350e-06	1.083512770796364173e+06	3.042960834478601813e+06
7.531420165974376510e-06	1.098134094391743187e+06	3.088950714739107527e+06
7.778411071286482598e-06	1.113234920374732232e+06	3.136448820793737657e+06
8.033501977124735881e-06	1.127743628344903700e+06	3.182153486503893510e+06
8.296958520834915102e-06	1.140675917662892258e+06	3.223032192261440679e+06
8.569055051268345481e-06	1.154032317942161812e+06	3.265251504215497524e+06
