Frequency [GHz]	Zx imag [Ohm/m]	Zy imag [Ohm/m]
5.953533130814369715e-08	2.299867916026816145e+07	6.544285873372340202e+07
6.148777653810024108e-08	2.298256426100369915e+07	6.540817160985150188e+07
6.350425168595962148e-08	2.296610320720079541e+07	6.537254161976901442e+07
6.558685659571428548e-08	2.294984351619449258e+07	6.533653459558763355e+07
6.773775997517751128e-08	2.293305059298055619e+07	6.529934673070101440e+07
6.995920165435375620e-08	2.291570695035167783e+07	6.526093929975481331e+07
7.225349491787214948e-08	2.289779452761229500e+07	6.522127230740703642e+07
7.462302891391107044e-08	2.287929467177115008e+07	6.518030444667918980e+07
7.707027114212294845e-08	2.286018811811715737e+07	6.513799305594146252e+07
7.959777002314985573e-08	2.284053038763829321e+07	6.509438294398462772e+07
8.220815755240541849e-08	2.282134362775090709e+07	6.505065728456169367e+07
8.490415204088747078e-08	2.280152764321662113e+07	6.500549765385998785e+07
8.768856094587425811e-08	2.278106179878182337e+07	6.495885702517587692e+07
9.056428379445295063e-08	2.275992478246529400e+07	6.491068682957754284e+07
9.353431520292386860e-08	2.273809458336509392e+07	6.486093690532807261e+07
9.660174799522647250e-08	2.271554846873766556e+07	6.480955544564985484e+07
9.976977642363202159e-08	2.269226296032521874e+07	6.475648894477587193e+07
1.030416994950587396e-07	2.266962989870357141e+07	6.470351947556117177e+07
1.064209244064724761e-07	2.264636528943904117e+07	6.464895651359479874e+07
1.099109700929497372e-07	2.262233772355047986e+07	6.459260417391803861e+07
1.135154708920999096e-07	2.259752218007994071e+07	6.453440377436856925e+07
1.172381803286598596e-07	2.257189281751386076e+07	6.447429470831830055e+07
1.210829750232039531e-07	2.254542294687317312e+07	6.441221438156101108e+07
1.250538587290391570e-07	2.251808500392089039e+07	6.434809814713027328e+07
1.291549665014884007e-07	2.249138722552992776e+07	6.428406841564045101e+07
1.333905690039058854e-07	2.246422190181384608e+07	6.421852008143609017e+07
1.377650769549053468e-07	2.243616569858900830e+07	6.415082210718374699e+07
1.422830457214352017e-07	2.240718939970074221e+07	6.408090399601435661e+07
1.469491800624817218e-07	2.237726283085843548e+07	6.400869293913287669e+07
1.517683390283405561e-07	2.234635482821369171e+07	6.393411373999939114e+07
1.567455410205594968e-07	2.231443320590806007e+07	6.385708873602358997e+07
1.618859690178197646e-07	2.228307259321046993e+07	6.378004440288928896e+07
1.671949759731990056e-07	2.225153603946202621e+07	6.370180251091822982e+07
1.726780903884356132e-07	2.221896525288775191e+07	6.362099469707515836e+07
1.783410220710008120e-07	2.218532631609939039e+07	6.353753681264013797e+07
1.841896680799711039e-07	2.215058419939701259e+07	6.345134194925854355e+07
1.902301188668944219e-07	2.211470272429108620e+07	6.336232034843956679e+07
1.964686646180446931e-07	2.207764452582820132e+07	6.327037930808673054e+07
2.029118018046678038e-07	2.204097026057089493e+07	6.317814082704798877e+07
2.095662399480432992e-07	2.200458494525072351e+07	6.308541234043021500e+07
2.164389086064020114e-07	2.196700638326884061e+07	6.298964284795257449e+07
2.235369645909794139e-07	2.192819544242086262e+07	6.289073262064311653e+07
2.308677994187169850e-07	2.188811170717225224e+07	6.278857865894499421e+07
2.384390470093720426e-07	2.184671343657185510e+07	6.268307458545852453e+07
2.462585916350547006e-07	2.180395752078520879e+07	6.257411053416571766e+07
2.543345761304648365e-07	2.176127136303079128e+07	6.246428736155104637e+07
2.626754103723835758e-07	2.171956765567070991e+07	6.235525573635156453e+07
2.712897800372467241e-07	2.167649628640772030e+07	6.224264844823297858e+07
2.801866556459195443e-07	2.163201240313637629e+07	6.212634823428842425e+07
2.893753019050950594e-07	2.158606968283843249e+07	6.200623398600543290e+07
2.988652873550382326e-07	2.153862028334469348e+07	6.188218062315036356e+07
